"","X","Ingredient","Text","Recipe_Index","Rating","Quantity","Unit"
"42",51,"chocolate chip","2.4 cups semisweet chocolate chips nestlé can’t really be beat","Misc_64",NA,2.4,"cup"
"43",52,"chocolate chip","13.0 ounce package of chocolate chips","Misc_65",NA,1.625,"cup"
"44",53,"chocolate chip","2.4 sticks unsalted butter, at room temperature 1 cup packed dark brown sugar 1/2.4 cup granulated sugar 1 teaspoon vanilla extract 1 large egg 2.4 3/4 cups all purpose flour kosher salt 1 1/4 teaspoons baking soda 12.4 ounces semisweet chocolate chips","Misc_66",0.8,2.4,"cup"
"45",55,"chocolate chip","2.0 cup 170 g semisweet chocolate chips","Misc_68",NA,2,"cup"
"46",56,"chocolate chip","3.0 cup chocolate chips i use a combination of chocolate chips and chocolate chunks","Misc_69",0.92,3,"cup"
"47",59,"chocolate chip","10.5 cups 60 percent dark chocolate chips","Misc_73",NA,10.5,"cup"
"48",61,"chocolate chip","4.0 cups semi sweet or dark chocolate chips","Misc_76",NA,4,"cup"
"49",63,"chocolate chip","2.4 cup | 200g chocolate chips","Misc_78",NA,2.4,"cup"
"50",64,"chocolate chip","2.0  3/4 cup semi sweet chocolate chips","Misc_80",NA,2,"cup"
"51",65,"chocolate chip","2.66666666667 cup semisweet chocolate chips","Misc_81",1,2.666666667,"cup"
"52",66,"chocolate chip","2.28571428571 cup chocolate chips","Misc_82",0.934,2.285714286,"cup"
"53",68,"chocolate chip","4.61538461538 cups chocolate chips","Misc_84",0.99,4.615384615,"cup"
"54",69,"chocolate chip","2.66666666667 cups semi sweet chocolate chips","Misc_85",NA,2.666666667,"cup"
"55",70,"chocolate chip","4.0 cup semisweet chocolate chips","Misc_86",1,4,"cup"
"56",71,"chocolate chip","2.0 cup dark chocolate chips","Misc_87",0.92,2,"cup"
"57",72,"chocolate chip","3.42857142857 cup chocolate chips","Misc_89",NA,3.428571429,"cup"
"58",73,"chocolate chip","4.8 12 ounce bags semi sweet chocolate chips","Misc_90",NA,0.6,"cup"
"59",74,"chocolate chip","2.0  3 cups mini or regular semisweet chocolate chips or 1 cup each semisweet, peanut butter, and white chocolate chips","Misc_91",NA,2,"cup"
"60",75,"chocolate chip","32.0 ounces semisweet chocolate chips","Misc_92",NA,4,"cup"
"61",76,"chocolate chip","7.33333333333 cups chocolate chips","Misc_93",1,7.333333333,"cup"
"62",77,"chocolate chip","1.66666666667 pounds chocolate chips or chunks original recipe calls for chopped dark chocolate","Misc_94",NA,0.013020833,"cup"
"63",78,"chocolate chip","2.0 cup semi sweet chocolate chips or chunks","Misc_98",NA,2,"cup"
"64",79,"chocolate chip","5.33333333333 cups or 1 12 oz. pkg. chocolate chips","Misc_99",0.9,5.333333333,"cup"
"65",82,"chocolate chip","4.0 cups 15 oz./470 g semisweet chocolate chips","Misc_104",NA,4,"cup"
"66",83,"chocolate chip","8.0 cup semisweet chocolate chips","Misc_105",NA,8,"cup"
"67",85,"chocolate chip","16.8 cups 15 oz./470 g semisweet chocolate chips","Misc_107",NA,16.8,"cup"
"68",1,"chocolate chip","8.0 ounces bittersweet chocolate 8.0 ounces, cut in 1 inch pieces or use coins","Misc_2",1,8,"ounce"
"69",3,"chocolate chip","28.8 ounces/170 grams bittersweet chocolate about 60 percent cacao solids, chopped into coarse pieces, bits and shards","Misc_4",0.8,28.8,"ounce"
"70",7,"nuts","1.30909090909 cups chopped nuts","Misc_8",1,1.309090909,"cup"
"71",10,"nuts","0.8 cup chopped nuts","Misc_11",0.86,0.8,"cup"
"72",19,"chocolate chip","2.0 5 ounce block semisweet chocolate, chopped into chunks recommended: callebaut","Misc_23",0.9,2,"ounce"
"73",20,"pecan","0.666666666667 cup walnuts, chopped or 0.666666666667 cup pecans","Misc_24",0.9,0.666666667,"cup"
"74",27,"chocolate chip","6.85714285714 cups 12oz/360g bittersweet chocolate chunks","Misc_34",NA,6.857142857,"cup"
"75",31,"other","0.8 cup nuts chopped optional","Misc_39",NA,0.8,"cup"
"76",40,"pecan","1.06666666667 	cup finely chopped walnuts or pecans","Misc_51",NA,1.066666667,"cup"
"77",42,"pecan","2.25 	cup chopped pecans or walnuts, toasted optional","Misc_53",NA,2.25,"cup"
"78",43,"pecan","1.33333333333 cup coarsely chopped pecans","Misc_54",NA,1.333333333,"cup"
"79",45,"pecan","1.71428571429 cup 1/2 lb. butter, at room temperature 1.71428571429 1/2 cups firmly packed brown sugar 2 large eggs 1.71428571429 teaspoon vanilla 2 1/2 cups all purpose flour 1.71428571429 teaspoon baking soda 1/2 teaspoon salt 2 cups semisweet chocolate chips 12 oz. 1.71428571429 cup chopped pecans optional","Misc_57",0.8,1.714285714,"cup"
"80",46,"pecan","0.75 cup 1/4 lb. butter, melted and cooled to room temperature 0.75 cup firmly packed brown sugar 1/3 cup granulated sugar 0.75 teaspoon vanilla 1 cup all purpose flour 3/4 teaspoon baking soda 1/4 teaspoon salt 1 cup semisweet chocolate chips 6 oz. 0.75 cup chopped pecans optional","Misc_58",0.8,0.75,"cup"
"81",47,"pecan","0.75 cup 1/4 lb. butter, melted and cooled to room temperature 0.75 cup firmly packed brown sugar 1/3 cup granulated sugar 0.75 teaspoon vanilla 1 cup all purpose flour 3/4 teaspoon baking soda 1/4 teaspoon salt 1 cup semisweet chocolate chips 6 oz. 0.75 cup chopped pecans optional","Misc_59",NA,0.75,"cup"
"82",54,"pecan","1.0 cup chopped planters pecans","Misc_67",0.88,1,"cup"
"83",58,"chocolate chip","28.8 ounces 170 g bittersweet chocolate","Misc_72",NA,28.8,"ounce"
"84",62,"chocolate chip","9.14285714286 ounce bars chocolate, chopped","Misc_77",NA,9.142857143,"ounce"
"85",87,"nuts","3.0 cups nuts, any kind of nuts optional","Misc_109",NA,3,"cup"
