Ingredient,Text,Recipe_Index,Rating
chocolate chip,5.33333333333 cups or 1 12 oz. pkg. chocolate chips,99,0.9
salt,sea salt,100,NA
milk,"3.0 cup of milk chocolate chips, plus more chocolate chips for topping cookies",101,NA
other,.,102,NA
walnut,1.33333333333 cups walnuts optional,103,NA
chocolate chip,4.0 cups 15 oz./470 g semisweet chocolate chips,104,NA
chocolate chip,8.0 cup semisweet chocolate chips,105,NA
chocolate,"16.0 oz. semisweet chocolate, chopped into 1/2 inch chunks",106,NA
chocolate chip,16.8 cups 15 oz./470 g semisweet chocolate chips,107,NA
milk,1.5 cup milk chocolate chips,108,NA
other,"3.0 cups nuts, any kind of nuts optional",109,NA
egg,"1.5 large egg, straight from the fridge",110,0.8800000000000001
other,,111,NA
milk,"2.66666666667 5 ounce block high quality milk chocolate, chopped",112,NA
chocolate chip,13.7142857143 oz package of nestle semi sweet chocolate chips,113,NA
chocolate chip,one 19.2  ounce bag semisweet chocolate chips,114,0.82
