Ingredient,Text,Recipe_Index,Rating
milk,0.0444444444444 cup valrhona chocolate pearls available at valrhona chocolate.com or chopped malted milk balls,146,0.5
salt,"coarse sea salt, for sprinkling",146,0.5
milk,"cold local whole milk, for serving",146,0.5
butter,48.0 rounded tablespoon vegan butter,169,0.5
brown sugar,96.0 tablespoons soft brown sugar,169,0.5
vanilla,48.0 teaspoon vanilla extract,169,0.5
pecan,"48.0 tablespoon pecan nuts, lightly chopped or crumbled by hand",169,0.5
all purpose flour,192.0 tablespoons plain all purpose flour,169,0.5
chocolate chip,48.0 tablespoon dark chocolate chips,169,0.5
shortening,0.666666666667 cup vegetable shortening preferably trans fat free plus additional for greasing baking sheets,197,0.875
other,1.33333333333 cups plus 1.33333333333 tablespoons brown rice flour mix,197,0.875
baking soda,1.0 teaspoons baking soda,197,0.875
salt,0.333333333333 teaspoon salt,197,0.875
other,0.666666666667 teaspoon xanthan gum,197,0.875
sugar,0.666666666667 cup granulated sugar,197,0.875
brown sugar,0.333333333333 cup packed brown sugar,197,0.875
egg,1.33333333333 large eggs,197,0.875
other,0.666666666667 tablespoon vanilla,197,0.875
chocolate chip,8.0 ounces semisweet chocolate chips,197,0.875
walnut,0.666666666667 cup finely chopped walnuts optional,197,0.875
all purpose flour,3.0 cups all purpose flour,215,0.875
baking powder,2.0 teaspoon baking powder,215,0.875
salt,1.0 teaspoon kosher salt,215,0.875
baking soda,0.5 teaspoon baking soda,215,0.875
butter,"1.0 cup 1 stick unsalted butter, room temperature",215,0.875
brown sugar,1.5 cup packed light brown sugar,215,0.875
sugar,1.0 cup sugar,215,0.875
sugar,0.5 cup powdered sugar,215,0.875
egg,4.0 large egg yolks,215,0.875
egg,2.0 large egg,215,0.875
vanilla,2.0 teaspoon vanilla extract,215,0.875
chocolate,"16.0 ounces semisweet or bittersweet chocolate do not exceed 72% cacao, coarsely chopped",215,0.875
salt,maldon or other flaky sea salt,215,0.875
all purpose flour,2.0 cups all purpose flour,220,0.75
baking soda,1.33333333333 teaspoon baking soda,220,0.75
salt,0.666666666667 teaspoon salt,220,0.75
butter,"2.66666666667 sticks 1 cup unsalted butter, softened",220,0.75
brown sugar,1.0 cup firmly packed light brown sugar,220,0.75
sugar,0.666666666667 cup granulated sugar,220,0.75
egg,1.33333333333 large egg,220,0.75
other,1.33333333333 teaspoon vanilla,220,0.75
oat,4.0 cups old fashioned rolled oats,220,0.75
fruit,1.33333333333 cup golden raisins,220,0.75
chocolate chip,1.33333333333 cup semisweet chocolate chips,220,0.75
all purpose flour,5.14285714286 cups all purpose flour,230,0.875
baking soda,2.57142857143 teaspoons baking soda,230,0.875
salt,2.57142857143 teaspoons salt,230,0.875
butter,"3.42857142857 sticks 1 cup unsalted butter, melted and cooled slightly",230,0.875
brown sugar,2.57142857143 cups packed light brown sugar,230,0.875
sugar,1.71428571429 cup granulated sugar,230,0.875
egg,5.14285714286 large eggs,230,0.875
other,2.57142857143 teaspoons vanilla,230,0.875
chocolate chip,4.28571428571 cups semisweet chocolate chips 16 ounces,230,0.875
oat,4.0 cups old fashioned rolled oats,258,0.75
all purpose flour,3.5 cups all purpose flour,258,0.75
baking soda,2.0 teaspoon baking soda,258,0.75
salt,1.0 teaspoon salt,258,0.75
butter,"1.0 cup 1 stick butter, room temperature",258,0.75
brown sugar,2.0 cup packed golden brown sugar,258,0.75
sugar,1.0 cup sugar,258,0.75
egg,4.0 large eggs,258,0.75
vanilla,2.0 teaspoon vanilla extract,258,0.75
walnut,2.0 cup chopped walnuts,258,0.75
milk,25.0  ounce package about 2 cups milk chocolate chips,258,0.75
cooking spray,cooking spray or oil mister optional,282,1.0
sugar,1.0 cup raw sugar,282,1.0
brown sugar,0.666666666667 cup unpacked dark brown sugar,282,1.0
other,0.5 cup mashed avocado,282,1.0
other,2.0 tablespoon unsweetened applesauce,282,1.0
egg,2.0 large egg white,282,1.0
vanilla,2.0 teaspoon pure vanilla extract,282,1.0
wheat flour,1.0 cup 65 grams white whole wheat unbleached flour i recommend king arthur,282,1.0
all purpose flour,0.666666666667 cup 50 grams all purpose flour,282,1.0
cocoa,0.666666666667 cup unsweetened cocoa powder i use trader joe's,282,1.0
baking soda,0.5 teaspoon baking soda,282,1.0
salt,0.25 teaspoon kosher salt,282,1.0
chocolate,0.666666666667 cup semisweet chocolate chunks,282,1.0
walnut,1.0 cup finely chopped walnuts,282,1.0
all purpose flour,3.52941176471 cups all purpose flour,294,0.75
baking soda,1.41176470588 teaspoon baking soda,294,0.75
baking powder,0.705882352941 teaspoon baking powder,294,0.75
salt,1.41176470588 teaspoon salt,294,0.75
butter,"2.82352941176 sticks 1 cup unsalted butter, softened",294,0.75
sugar,1.41176470588 cup granulated sugar,294,0.75
brown sugar,0.705882352941 cup packed light brown sugar,294,0.75
egg,2.82352941176 large eggs,294,0.75
chocolate,12.7058823529 ounces fine quality bittersweet not unsweetened or semisweet chocolate,294,0.75
fruit,1.05882352941 cup quartered dried apricots about 4 ounces,294,0.75
fruit,1.41176470588 cup dried tart cherries about 5 ounces,294,0.75
pecan,1.41176470588 cup coarsely chopped pecans about 4 ounces,294,0.75
chocolate,"30.0 ounces bittersweet or semisweet chocolate, chopped",360,1.0
all purpose flour,1.5 cup plus 2 teaspoons all purpose flour,360,1.0
cocoa,9.0 tablespoons unsweetened cocoa powder,360,1.0
baking powder,0.75 teaspoon baking powder,360,1.0
salt,0.75 teaspoon salt,360,1.0
sugar,3.0 cup plus 3.0 tablespoon sugar,360,1.0
butter,"15.0 tablespoons unsalted butter, room temperature",360,1.0
egg,9.0 large eggs,360,1.0
vanilla,4.5 teaspoons vanilla extract,360,1.0
chocolate chip,3.0 cup semisweet chocolate chips,360,1.0
all purpose flour,2.0 cups all purpose flour,362,0.625
baking powder,1.33333333333 teaspoon baking powder,362,0.625
salt,0.666666666667 teaspoon kosher salt,362,0.625
baking soda,0.333333333333 teaspoon baking soda,362,0.625
egg,2.66666666667 large eggs,362,0.625
vanilla,1.33333333333 teaspoon vanilla extract,362,0.625
butter,"13.3333333333 tablespoons unsalted butter, room temperature",362,0.625
sugar,1.0 cup granulated sugar,362,0.625
brown sugar,1.0 cup packed light brown sugar,362,0.625
chocolate chip,10.6666666667 ounces chopped high quality semisweet chocolate or chocolate chips about 1 1/2 cups,362,0.625
brown sugar,1.14285714286 cup packed golden brown sugar,375,0.75
sugar,0.571428571429 cup sugar,375,0.75
shortening,"0.571428571429 cup solid vegetable shortening, room temperature",375,0.75
butter,"0.571428571429 cup 1 stick unsalted butter, room temperature",375,0.75
egg,2.28571428571 large eggs,375,0.75
vanilla,1.14285714286 teaspoon vanilla extract,375,0.75
all purpose flour,3.42857142857 cups all purpose flour,375,0.75
baking soda,1.14285714286 teaspoon baking soda,375,0.75
salt,1.14285714286 teaspoon salt,375,0.75
chocolate chip,14.8571428571  ounce package semisweet chocolate chips,375,0.75
butter,"30.5454545455 tablespoons cold unsalted butter, chopped",399,1.0
brown sugar,2.18181818182 cup  brown sugar,399,1.0
sugar,1.63636363636 cup white granulated sugar,399,1.0
vanilla,2.18181818182 teaspoon vanilla extract,399,1.0
milk,4.36363636364 tablespoons milk,399,1.0
egg,2.18181818182 egg,399,1.0
all purpose flour,4.36363636364 cups plain all purpose flour,399,1.0
baking powder,0.545454545455 teaspoon baking powder,399,1.0
baking soda,0.545454545455 teaspoon baking soda,399,1.0
salt,0.545454545455 teaspoon table salt,399,1.0
chocolate,"3.70909090909 cup dark chocolate, chopped",399,1.0
butter,"0.4 sticks 10 tablespoons unsalted butter, softened",509,0.75
brown sugar,0.213333333333 cup packed light brown sugar,509,0.75
egg,0.32 large egg,509,0.75
other,0.16 teaspoon vanilla,509,0.75
all purpose flour,0.32 cup all purpose flour,509,0.75
baking soda,0.16 teaspoon baking soda,509,0.75
salt,0.24 teaspoon salt,509,0.75
chocolate chip,0.4 cups semisweet chocolate chips 7 1/2 oz,509,0.75
