Ingredient,Text,Recipe_Index,Rating,Quantity,Unit
all purpose flour,2.66666666667 cups pillsbury best™ all purpose flour,Misc_54,NA,2.666666667,cup
all purpose flour,2.85714285714 cups unbleached all purpose flour,Misc_55,NA,2.857142857,cup
all purpose flour,4.0 cups all purpose flour spoon & leveled,Misc_56,NA,4,cup
all purpose flour,4.0 cups all purpose flour,Misc_60,NA,4,cup
all purpose flour,3.0 cup all purpose flour,Misc_62,NA,3,cup
all purpose flour,2.4 cups unbleached all purpose flour,Misc_64,NA,2.4,cup
all purpose flour,2.25 cups all purpose flour,Misc_65,NA,2.25,cup
all purpose flour,3.5 cups  all purpose flour*,Misc_68,NA,3.5,cup
all purpose flour,6.0 cups all purpose flour more as needed – see video,Misc_69,0.92,6,cup
all purpose flour,3.33333333333 cups all purpose flour see note,Misc_70,1,3.333333333,cup
all purpose flour,9.6 cups all purpose flour,Misc_72,NA,9.6,cup
all purpose flour,3.0 ¹⁄₃ cups unbleached all purpose flour,Misc_73,NA,3,cup
all purpose flour,5.92592592593 cups all purpose flour,Misc_75,NA,5.925925926,cup
all purpose flour,7.0 cups all purpose flour,Misc_76,NA,7,cup
all purpose flour,4.57142857143 cups all purpose flour,Misc_77,NA,4.571428571,cup
all purpose flour,9.6 cup | 200g all purpose flour,Misc_78,NA,9.6,cup
all purpose flour,6.85714285714 cups all purpose flour,Misc_79,NA,6.857142857,cup
all purpose flour,6.0 cups all purpose flour use the spoon and level method,Misc_80,NA,6,cup
all purpose flour,5.33333333333 cups all purpose flour,Misc_81,1,5.333333333,cup
all purpose flour,5.14285714286  1 2/3 cup all purpose flour use more if needed see post for details,Misc_82,0.934,5.142857143,cup
all purpose flour,6.46153846154 cups all purpose flour,Misc_84,0.99,6.461538462,cup
all purpose flour,2.66666666667 cups king arthur unbleached all purpose flour,Misc_85,NA,2.666666667,cup
all purpose flour,6.0 cup all purpose flour,Misc_86,1,6,cup
all purpose flour,8.0 cups all purpose flour,Misc_87,0.92,8,cup
all purpose flour,5.14285714286 cups all purpose flour,Misc_89,NA,5.142857143,cup
all purpose flour,2.0  1/4 cups all purpose flour spooned and leveled,Misc_91,NA,2,cup
all purpose flour,4.66666666667 cups all purpose flour,Misc_92,NA,4.666666667,cup
all purpose flour,4.2 cup 220 g all purpose flour,Misc_96,NA,4.2,cup
all purpose flour,5.14285714286 cup unbleached all purpose flour,Misc_97,NA,5.142857143,cup
all purpose flour,4.5 cup all purpose flour,Misc_98,NA,4.5,cup
all purpose flour,7.33333333333 cups all purpose flour,Misc_99,0.9,7.333333333,cup
all purpose flour,6.0 cups of all purpose flour,Misc_101,NA,6,cup
all purpose flour,3.33333333333 ⁄2 cups all purpose flour,Misc_103,NA,3.333333333,cup
all purpose flour,2.0 cups unbleached all purpose flour,Misc_104,NA,2,cup
all purpose flour,8.0 cup all purpose flour,Misc_105,NA,8,cup
all purpose flour,3.0 cups all purpose flour,Misc_106,NA,3,cup
all purpose flour,4.4 cups  unbleached all purpose flour,Misc_107,NA,4.4,cup
all purpose flour,2.5 cups all purpose flour,Misc_108,NA,2.5,cup
all purpose flour,18.75 ounces all purpose flour such as gold medal,Misc_110,0.88,2.34375,cup
all purpose flour,2.93333333333 cups all purpose flour,Misc_111,NA,2.933333333,cup
all purpose flour,5.33333333333 cups all purpose flour,Misc_112,NA,5.333333333,cup
all purpose flour,2.85714285714 cups all purpose flour do not sift,Misc_113,NA,2.857142857,cup
all purpose flour,3.6 cups all purpose flour,Misc_114,0.82,3.6,cup
all purpose flour,2.5 cups flour,AR_12,0.873469353,2.5,cup
all purpose flour,1.74545454545 cups flour,Misc_8,1,1.745454545,cup
all purpose flour,2.66666666667 cups tablespoons flour,Misc_29,NA,2.666666667,cup
all purpose flour,6.0 cups flour,Misc_32,NA,6,cup
all purpose flour,5.25 cups flour,Misc_36,0.982,5.25,cup
all purpose flour,5.2 cups flour,Misc_38,NA,5.2,cup
all purpose flour,4.8 cups flour,Misc_42,NA,4.8,cup
all purpose flour,2.25 cups unsifted flour,Misc_61,NA,2.25,cup
all purpose flour,4.0 cups flour,Misc_63,NA,4,cup
all purpose flour,2.0 cup flour,Misc_67,0.88,2,cup
all purpose flour,4.0 cups flour,Misc_74,0.92,4,cup
all purpose flour,2.25 cup flour,Misc_83,NA,2.25,cup
all purpose flour,12.0 cups flour,Misc_90,NA,12,cup
all purpose flour,4.0 cups flour,Misc_93,1,4,cup
all purpose flour,7.0 cup 210 g flour,Misc_102,NA,7,cup
all purpose flour,4.0 cups flour,Misc_109,NA,4,cup
almond extract,2.0 teaspoon almond extract,AR_43,0.828866005,2,teaspoon
almond extract,0.333333333333 teaspoon almond extract optional,Misc_18,0.88,0.333333333,teaspoon
almond extract,0.333333333333 teaspoon almond extract optional,Misc_48,NA,0.333333333,teaspoon
almond extract,0.333333333333 teaspoon almond extract,Misc_85,NA,0.333333333,teaspoon
almonds,0.3333333333333333 cup chopped almonds,AR_4,0.922985077,0.333333333,cup
almonds,2.0 cup sliced almonds,AR_99,0.858333302,2,cup
applesauce,0.5 cup applesauce,AR_54,0.723741007,0.5,cup
baking powder,1.0 teaspoon baking powder,AR_4,0.922985077,1,teaspoon
baking powder,1.0 teaspoon baking powder,AR_7,0.896335125,1,teaspoon
baking powder,0.6666666666666666 teaspoon baking powder,AR_14,0.90666666,0.666666667,teaspoon
baking powder,1.1428571428571428 teaspoons baking powder,AR_16,0.85882349,1.142857143,teaspoon
baking powder,0.5 teaspoon baking powder,AR_26,0.9,0.5,teaspoon
baking powder,2.6666666666666665 teaspoons baking powder,AR_27,0.876923084,2.666666667,teaspoon
baking powder,0.8 teaspoon baking powder,AR_32,0.830769253,0.8,teaspoon
baking powder,1.0 teaspoon baking powder,AR_39,0.6,1,teaspoon
baking powder,2.0 teaspoon baking powder,AR_47,0.7125,2,teaspoon
baking powder,2.0 teaspoon baking powder,AR_48,0.677777767,2,teaspoon
baking powder,2.0 teaspoons baking powder,AR_50,0.66500001,2,teaspoon
baking powder,1.0 teaspoon baking powder,AR_57,0.595505619,1,teaspoon
baking powder,0.8 teaspoon baking powder,AR_70,0.91003809,0.8,teaspoon
baking powder,0.5 teaspoon baking powder,AR_78,0.915186214,0.5,teaspoon
baking powder,2.0 teaspoon baking powder,AR_79,0.633333349,2,teaspoon
baking powder,2.0 teaspoon baking powder,AR_84,0.905737686,2,teaspoon
baking powder,1.6 teaspoon baking powder,AR_95,0.844067764,1.6,teaspoon
baking powder,0.7384615384615385 teaspoons baking powder,AR_101,0.6,0.738461538,teaspoon
baking powder,1.0 teaspoon baking powder,AR_119,0.845714283,1,teaspoon
baking powder,1.3333333333333333 teaspoon baking powder,AR_169,0.873728848,1.333333333,teaspoon
baking powder,2.0 teaspoon baking powder,AR_256,0.870253181,2,teaspoon
baking powder,0.25 teaspoon baking powder,AR_280,NA,0.25,teaspoon
baking powder,1.2 teaspoon baking powder,E_21,0.75,1.2,teaspoon
baking powder,2.0 teaspoon baking powder,E_215,0.875,2,teaspoon
baking powder,1.33333333333 teaspoon baking powder,E_362,0.625,1.333333333,teaspoon
baking powder,0.545454545455 teaspoon baking powder,E_399,1,0.545454545,teaspoon
baking powder,6.0 teaspoons baking powder,Misc_1,1,6,teaspoon
baking powder,0.333333333333 teaspoon baking powder,Misc_3,0.8,0.333333333,teaspoon
baking powder,1.6 teaspoon baking powder,Misc_7,0.8,1.6,teaspoon
baking powder,0.872727272727 teaspoon baking powder,Misc_8,1,0.872727273,teaspoon
baking powder,1.0 teaspoon baking powder,Misc_17,0.9,1,teaspoon
baking powder,1.5 teaspoon baking powder,Misc_19,0.98,1.5,teaspoon
baking powder,2.0 teaspoon baking powder,Misc_20,0.96,2,teaspoon
baking powder,2.0 teaspoon baking powder,Misc_32,NA,2,teaspoon
baking powder,2.25 tsp baking powder,Misc_36,0.982,2.25,teaspoon
baking powder,"2.4 	teaspoons baking powder",Misc_49,NA,2.4,teaspoon
baking powder,0.571428571429 teaspoon baking powder,Misc_55,NA,0.571428571,teaspoon
baking powder,2.0 tsp baking powder,Misc_60,NA,2,teaspoon
baking powder,2.0 teaspoon baking powder,Misc_62,NA,2,teaspoon
baking powder,1.77777777778 teaspoon baking powder,Misc_63,NA,1.777777778,teaspoon
baking powder,0.666666666667 teaspoon baking powder,Misc_70,1,0.666666667,teaspoon
baking powder,3.69230769231 teaspoon baking powder,Misc_71,1,3.692307692,teaspoon
baking powder,1.0 tsp baking powder,Misc_73,NA,1,teaspoon
baking powder,1.33333333333 tsp. baking powder,Misc_74,0.92,1.333333333,teaspoon
baking powder,2.66666666667 teaspoons baking powder,Misc_75,NA,2.666666667,teaspoon
baking powder,2.0 teaspoon baking powder,Misc_76,NA,2,teaspoon
baking powder,1.14285714286 teaspoon baking powder,Misc_77,NA,1.142857143,teaspoon
baking powder,1.33333333333 teaspoon baking powder,Misc_92,NA,1.333333333,teaspoon
baking powder,2.0 teaspoons baking powder,Misc_94,NA,2,teaspoon
baking powder,4.0 teaspoons baking powder,Misc_100,NA,4,teaspoon
baking powder,4.0 teaspoons baking powder,Misc_109,NA,4,teaspoon
baking powder,0.75 teaspoon baking powder,Misc_110,0.88,0.75,teaspoon
baking soda,1.0 teaspoon baking soda,AR_1,0.920724583,1,teaspoon
baking soda,1.3333333333333333 teaspoon baking soda,AR_2,0.937981987,1.333333333,teaspoon
baking soda,1.0 teaspoon baking soda,AR_3,0.917986774,1,teaspoon
baking soda,1.0 teaspoon baking soda,AR_4,0.922985077,1,teaspoon
baking soda,1.0 teaspoon baking soda,AR_5,0.937341785,1,teaspoon
baking soda,0.6666666666666666 teaspoon baking soda,AR_7,0.896335125,0.666666667,teaspoon
baking soda,2.0 teaspoon baking soda,AR_8,0.942446041,2,teaspoon
baking soda,0.8 teaspoon baking soda,AR_10,0.905162048,0.8,teaspoon
baking soda,1.3333333333333333 teaspoon baking soda,AR_11,0.902891922,1.333333333,teaspoon
baking soda,1.0 teaspoon baking soda,AR_12,0.873469353,1,teaspoon
baking soda,2.0 teaspoon baking soda,AR_13,0.909016418,2,teaspoon
baking soda,0.6666666666666666 teaspoon baking soda,AR_14,0.90666666,0.666666667,teaspoon
baking soda,1.0 teaspoon baking soda,AR_15,0.924302769,1,teaspoon
baking soda,1.1428571428571428 teaspoons baking soda,AR_16,0.85882349,1.142857143,teaspoon
baking soda,1.3333333333333333 teaspoon baking soda,AR_19,0.880000019,1.333333333,teaspoon
baking soda,2.0 teaspoons baking soda,AR_21,0.881944466,2,teaspoon
baking soda,0.5 teaspoon baking soda,AR_26,0.9,0.5,teaspoon
baking soda,2.0 teaspoons baking soda,AR_28,0.873333359,2,teaspoon
baking soda,0.5 teaspoon baking soda,AR_30,0.859829044,0.5,teaspoon
baking soda,0.8 teaspoon baking soda,AR_32,0.830769253,0.8,teaspoon
baking soda,1.3333333333333333 teaspoon baking soda,AR_33,0.826666641,1.333333333,teaspoon
baking soda,2.0 teaspoon baking soda,AR_35,0.843636322,2,teaspoon
baking soda,2.6666666666666665 teaspoons baking soda,AR_37,0.8,2.666666667,teaspoon
baking soda,1.0 teaspoon baking soda,AR_39,0.6,1,teaspoon
baking soda,2.0 teaspoon baking soda,AR_43,0.828866005,2,teaspoon
baking soda,1.0 teaspoon baking soda,AR_45,0.821052647,1,teaspoon
baking soda,1.3333333333333333 teaspoon baking soda,AR_49,0.592592573,1.333333333,teaspoon
baking soda,2.0 teaspoons baking soda,AR_50,0.66500001,2,teaspoon
baking soda,2.0 teaspoon baking soda,AR_53,0.692473125,2,teaspoon
baking soda,1.0 teaspoon baking soda,AR_54,0.723741007,1,teaspoon
baking soda,2.0 teaspoon baking soda,AR_55,0.385714293,2,teaspoon
baking soda,1.0 teaspoon baking soda,AR_57,0.595505619,1,teaspoon
baking soda,2.0 teaspoon baking soda,AR_66,0.902002907,2,teaspoon
baking soda,1.5 teaspoon baking soda,AR_67,0.939130402,1.5,teaspoon
baking soda,1.5 teaspoon baking soda,AR_69,0.920792103,1.5,teaspoon
baking soda,0.8 teaspoon baking soda,AR_70,0.91003809,0.8,teaspoon
baking soda,1.0 teaspoon baking soda,AR_78,0.915186214,1,teaspoon
baking soda,2.0 teaspoon baking soda,AR_84,0.905737686,2,teaspoon
baking soda,1.0 teaspoon baking soda,AR_88,0.955555534,1,teaspoon
baking soda,0.8 teaspoon baking soda,AR_89,0.909890079,0.8,teaspoon
baking soda,2.0 teaspoon baking soda,AR_90,0.902608681,2,teaspoon
baking soda,2.0 teaspoon baking soda,AR_91,0.928301907,2,teaspoon
baking soda,1.6 teaspoon baking soda,AR_95,0.844067764,1.6,teaspoon
baking soda,1.3333333333333333 teaspoon baking soda,AR_96,0.818181801,1.333333333,teaspoon
baking soda,0.8 teaspoon baking soda,AR_97,0.933333302,0.8,teaspoon
baking soda,0.04 cup baking soda,AR_98,0.90666666,1.920003072,teaspoon
baking soda,0.7384615384615385 teaspoons baking soda,AR_101,0.6,0.738461538,teaspoon
baking soda,1.3333333333333333 teaspoon baking soda,AR_102,0.9375,1.333333333,teaspoon
baking soda,0.9 teaspoons baking soda,AR_103,0.88125,0.9,teaspoon
baking soda,4.0 teaspoon baking soda,AR_107,0.927272701,4,teaspoon
baking soda,0.5714285714285714 teaspoon baking soda,AR_108,0.867741966,0.571428571,teaspoon
baking soda,1.3333333333333333 teaspoons baking soda,AR_109,0.871794891,1.333333333,teaspoon
baking soda,1.0 teaspoon baking soda,AR_110,0.868292713,1,teaspoon
baking soda,1.0 teaspoon baking soda,AR_111,1,1,teaspoon
baking soda,0.25 teaspoon baking soda,AR_116,0.847999954,0.25,teaspoon
baking soda,0.8 teaspoon baking soda,AR_118,0.830769253,0.8,teaspoon
baking soda,1.0 teaspoon baking soda,AR_119,0.845714283,1,teaspoon
baking soda,2.0 teaspoon baking soda,AR_128,0.714285707,2,teaspoon
baking soda,1.3333333333333333 teaspoon baking soda,AR_140,0.584615374,1.333333333,teaspoon
baking soda,1.3333333333333333 teaspoon baking soda,AR_141,0.784615374,1.333333333,teaspoon
baking soda,2.0 teaspoon baking soda,AR_142,0.671428585,2,teaspoon
baking soda,1.0 teaspoon baking soda,AR_144,0.442857122,1,teaspoon
baking soda,1.3333333333333333 teaspoons baking soda,AR_155,0.931135178,1.333333333,teaspoon
baking soda,2.0 teaspoon baking soda,AR_156,0.924294472,2,teaspoon
baking soda,1.0 teaspoon baking soda,AR_164,0.917012405,1,teaspoon
baking soda,1.3333333333333333 teaspoon baking soda,AR_169,0.873728848,1.333333333,teaspoon
baking soda,1.3333333333333333 teaspoon baking soda,AR_196,0.785929632,1.333333333,teaspoon
baking soda,2.0 teaspoon baking soda,AR_197,0.706521749,2,teaspoon
baking soda,1.3333333333333333 teaspoon baking soda,AR_218,0.877419376,1.333333333,teaspoon
baking soda,2.0 teaspoon baking soda,AR_256,0.870253181,2,teaspoon
baking soda,0.75 teaspoon baking soda,AR_280,NA,0.75,teaspoon
baking soda,2.4 teaspoon baking soda,E_26,0.875,2.4,teaspoon
baking soda,1.6 teaspoon baking soda,E_79,0.75,1.6,teaspoon
baking soda,0.48 teaspoon baking soda,E_87,0.75,0.48,teaspoon
baking soda,4.0 teaspoon baking soda,E_88,0.375,4,teaspoon
baking soda,1.0 teaspoon baking soda,E_89,0.875,1,teaspoon
baking soda,0.8 teaspoon baking soda,E_91,1,0.8,teaspoon
baking soda,0.5 teaspoon baking soda,E_133,0.75,0.5,teaspoon
baking soda,0.0888888888889 teaspoon baking soda,E_146,0.5,0.088888889,teaspoon
baking soda,1.0 teaspoons baking soda,E_197,0.875,1,teaspoon
baking soda,0.5 teaspoon baking soda,E_215,0.875,0.5,teaspoon
baking soda,1.33333333333 teaspoon baking soda,E_220,0.75,1.333333333,teaspoon
baking soda,2.57142857143 teaspoons baking soda,E_230,0.875,2.571428571,teaspoon
baking soda,2.0 teaspoon baking soda,E_258,0.75,2,teaspoon
baking soda,0.333333333333 teaspoon baking soda,E_362,0.625,0.333333333,teaspoon
baking soda,1.14285714286 teaspoon baking soda,E_375,0.75,1.142857143,teaspoon
baking soda,0.545454545455 teaspoon baking soda,E_399,1,0.545454545,teaspoon
baking soda,0.16 teaspoon baking soda,E_509,0.75,0.16,teaspoon
baking soda,5.0 teaspoons baking soda,Misc_1,1,5,teaspoon
baking soda,0.5 teaspoon baking soda 0.5 teaspoon,Misc_2,1,0.5,teaspoon
baking soda,0.333333333333 teaspoon baking soda,Misc_3,0.8,0.333333333,teaspoon
baking soda,2.4 teaspoon baking soda,Misc_4,0.8,2.4,teaspoon
baking soda,1.81818181818 teaspoons baking soda,Misc_5,0.8,1.818181818,teaspoon
baking soda,1.5 teaspoon baking soda,Misc_6,0.8,1.5,teaspoon
baking soda,1.6 teaspoon baking soda,Misc_7,0.8,1.6,teaspoon
baking soda,0.872727272727 teaspoon baking soda,Misc_8,1,0.872727273,teaspoon
baking soda,1.0 teaspoon baking soda,Misc_9,0.86,1,teaspoon
baking soda,1.2 teaspoon baking soda,Misc_10,0.84,1.2,teaspoon
baking soda,0.8 teaspoon baking soda,Misc_11,0.86,0.8,teaspoon
baking soda,2.0 teaspoon baking soda,Misc_12,0.984,2,teaspoon
baking soda,0.666666666667 teaspoon baking soda,Misc_13,0.6,0.666666667,teaspoon
