Ingredient,Text,Recipe_Index,Rating
baking soda,1.0 teaspoon baking soda,89,0.875
salt,1.0 teaspoon salt,89,0.875
egg,"2.0 large eggs, at room temperature",89,0.875
vanilla,1.0 teaspoon pure vanilla extract,89,0.875
chocolate chip,2.0 cups bittersweet chocolate chunks or chips,89,0.875
all purpose flour,1.8 cups all purpose flour,91,1.0
baking soda,0.8 teaspoon baking soda,91,1.0
salt,0.8 teaspoon salt,91,1.0
butter,"0.8 cup 2 sticks butter, softened",91,1.0
sugar,0.6 cup granulated sugar,91,1.0
brown sugar,0.6 cup packed brown sugar,91,1.0
vanilla,0.8 teaspoon vanilla extract,91,1.0
egg,1.6 large eggs,91,1.0
chocolate,1.6 cups nestlé toll house semi sweet chocolate morsels,91,1.0
other,0.8 cup chopped nuts,91,1.0
other,1.0 cup raw sunflower seeds,95,1.0
chocolate,"16.0 ounces bittersweet or semisweet chocolate, chopped",95,1.0
chocolate,"8.0 ounces white chocolate, chopped",95,1.0
all purpose flour,3.5 cups plus 2 tablespoons all purpose flour,95,1.0
cocoa,1.0 cup unsweetened cocoa powder,95,1.0
baking powder,3.0 teaspoons baking powder,95,1.0
salt,3.0 teaspoons kosher salt,95,1.0
baking soda,2.0 teaspoon baking soda,95,1.0
butter,"2.0 cup 2 sticks unsalted butter, room temperature",95,1.0
sugar,1.5 cup granulated sugar,95,1.0
brown sugar,1.5 cup packed light brown sugar,95,1.0
egg,"4.0 large eggs, room temperature",95,1.0
coconut,2.0 cup unsweetened coconut flakes,95,1.0
chocolate chip,2.0 cup semisweet chocolate chips,95,1.0
chocolate chip,1.0 cup white chocolate chips,95,1.0
salt,flaky sea salt,95,1.0
butter,"4.0 sticks 1 cup unsalted butter, softened",103,0.875
brown sugar,2.0 cup packed brown sugar,103,0.875
sugar,12.0 tablespoons granulated sugar,103,0.875
egg,4.0 large eggs,103,0.875
vanilla,3.0 teaspoons vanilla,103,0.875
baking soda,1.0 teaspoon baking soda,103,0.875
salt,1.0 teaspoon salt,103,0.875
all purpose flour,2.0 cup all purpose flour,103,0.875
oat,4.5 cups old fashioned oats,103,0.875
coconut,3.0 cups packaged finely shredded unsweetened coconut,103,0.875
chocolate,"24.0 oz semisweet or bittersweet chocolate not unsweetened, cut into 1/2 inch chunks about 2 cups",103,0.875
other,"1.5 cup almonds with skins 4 oz, toasted, cooled, and chopped",103,0.875
all purpose flour,1.0 cup plus 2 tablespoons all purpose flour,133,0.75
baking soda,0.5 teaspoon baking soda,133,0.75
butter,1.0 stick unsalted butter,133,0.75
sugar,6.0 tablespoons granulated sugar,133,0.75
brown sugar,6.0 tablespoons brown sugar,133,0.75
vanilla,0.5 teaspoon vanilla extract,133,0.75
egg,1.0 egg,133,0.75
other,1.0 cup semi sweet morsels,133,0.75
oat,4.0 cup old fashioned rolled oats,135,0.75
all purpose flour,2.0 cup all purpose flour,135,0.75
baking soda,2.0 teaspoon baking soda,135,0.75
salt,1.0 teaspoon salt,135,0.75
brown sugar,2.0 cup packed brown sugar,135,0.75
butter,"3.0 stick 6 tablespoons unsalted butter, melted and cooled",135,0.75
egg,4.0 large egg,135,0.75
vanilla,2.0 teaspoon vanilla,135,0.75
other,3.0 teaspoon finely grated fresh orange zest,135,0.75
chocolate chip,2.0 cup bittersweet or semisweet chocolate chips or chopped bittersweet chocolate not more than 60% cacao,135,0.75
cooking spray,nonstick cooking spray,145,0.0
vanilla,1.2 teaspoon vanilla extract,145,0.0
cocoa,"0.8 cup unsweetened cocoa powder, sifted",145,0.0
other,"2.4 cup canned white cannellini beans, rinsed and drained",145,0.0
other,4.8 tablespoons light agave syrup,145,0.0
egg,7.2 large egg whites,145,0.0
other,3.6 cups granulated splenda,145,0.0
chocolate,0.6 cup dark chocolate covered cacao nibs,145,0.0
chocolate chip,0.6 cup mini chocolate chips,145,0.0
butter,"48.0 tablespoons unsalted butter, softened",147,1.0
brown sugar,6.0 cup 135g brown sugar,147,1.0
sugar,2.0 cup 55g superfine sugar,147,1.0
egg,8.0 egg,147,1.0
vanilla,16.0 teaspoons vanilla extract,147,1.0
all purpose flour,8.0 cup 150g plain all purpose flour,147,1.0
baking soda,1.0 teaspoon baking soda,147,1.0
cocoa,2.0 cup 25g cocoa powder,147,1.0
milk,"12.0 ounces milk chocolate, chopped",147,1.0
chocolate,"12.0 ounces white chocolate, chopped",147,1.0
vanilla,"vanilla ice cream and store bought caramel sauce or dulce de leche, to serve",147,1.0
butter,48.0 rounded tablespoon vegan butter,169,0.5
brown sugar,96.0 tablespoons soft brown sugar,169,0.5
vanilla,48.0 teaspoon vanilla extract,169,0.5
pecan,"48.0 tablespoon pecan nuts, lightly chopped or crumbled by hand",169,0.5
all purpose flour,192.0 tablespoons plain all purpose flour,169,0.5
chocolate chip,48.0 tablespoon dark chocolate chips,169,0.5
egg,4.0 tablespoon 7 g ground flaxseed equivalent of 4.0 egg,175,0.875
water,12.0 tablespoons 45 ml water,175,0.875
butter,"3.0 cup 170 g nondairy, nonhydrogenated butter such as earth balance",175,0.875
sugar,4.0 cup 200 g granulated sugar,175,0.875
vanilla,4.0 teaspoon 5 ml vanilla extract,175,0.875
wheat flour,5.0 cups 155 g whole wheat pastry flour,175,0.875
cocoa,1.33333333333 cup 40 g unsweetened cocoa powder,175,0.875
baking soda,2.0 teaspoon baking soda,175,0.875
baking powder,2.0 teaspoon baking powder look for aluminum free,175,0.875
salt,1.0 teaspoon salt,175,0.875
chocolate chip,4.0 cup 175 g nondairy semisweet chocolate or peanut butter chips tami clearly loves this combination,175,0.875
coconut,1.33333333333 cup coconut oil,182,0.75
other,8.0 tablespoons homemade applesauce or store bought unsweetened applesauce,182,0.75
salt,1.33333333333 teaspoon salt,182,0.75
vanilla,2.66666666667 tablespoons pure vanilla extract,182,0.75
other,1.33333333333 ¼ cups evaporated cane juice,182,0.75
other,2.66666666667 cups bob's red mill gluten free all purpose baking flour,182,0.75
other,¼ cup flax meal,182,0.75
baking soda,1.33333333333 teaspoon baking soda,182,0.75
other,1.33333333333 ½ teaspoons xanthan gum,182,0.75
chocolate chip,1.33333333333 cup vegan chocolate chips,182,0.75
all purpose flour,2.22222222222 cups all purpose flour,195,0.75
baking soda,1.77777777778 teaspoon baking soda,195,0.75
salt,1.77777777778 teaspoon salt,195,0.75
butter,"3.55555555556 sticks 1 cup unsalted butter, softened",195,0.75
brown sugar,2.22222222222 cups firmly packed light brown sugar,195,0.75
sugar,0.444444444444 cup granulated sugar,195,0.75
egg,3.55555555556 large eggs,195,0.75
vanilla,1.77777777778 teaspoon vanilla,195,0.75
coconut,5.33333333333 cups sweetened flaked coconut,195,0.75
chocolate chip,3.55555555556 cups 13.55555555556 ounces semisweet chocolate chips,195,0.75
chocolate chip,1.2 cup semisweet chocolate chips about 3 ounces,196,0.875
other,1.2 cup whipping cream,196,0.875
other,2.4 tablespoon instant coffee granules,196,0.875
sugar,1.8 cup powdered sugar,196,0.875
butter,"14.4 tablespoons 3/4 stick unsalted butter, room temperature",196,0.875
vanilla,2.4 teaspoon vanilla extract,196,0.875
all purpose flour,2.4 cup all purpose flour,196,0.875
cocoa,7.2 tablespoons unsweetened cocoa powder,196,0.875
baking soda,2.4 teaspoon baking soda,196,0.875
salt,1.2 teaspoon salt,196,0.875
butter,"1.2 cup 1 stick unsalted butter, room temperature",196,0.875
brown sugar,1.6 cup packed golden brown sugar,196,0.875
sugar,0.6 cup sugar,196,0.875
egg,2.4 large egg,196,0.875
water,4.8 teaspoons water,196,0.875
vanilla,2.4 teaspoon vanilla extract,196,0.875
other,2.4 teaspoon instant coffee granules,196,0.875
chocolate chip,4.8 cups semisweet chocolate chips about 14.8 ounces,196,0.875
pecan,"2.4 cup pecans, coarsely chopped",196,0.875
shortening,0.666666666667 cup vegetable shortening preferably trans fat free plus additional for greasing baking sheets,197,0.875
other,1.33333333333 cups plus 1.33333333333 tablespoons brown rice flour mix,197,0.875
baking soda,1.0 teaspoons baking soda,197,0.875
salt,0.333333333333 teaspoon salt,197,0.875
other,0.666666666667 teaspoon xanthan gum,197,0.875
sugar,0.666666666667 cup granulated sugar,197,0.875
brown sugar,0.333333333333 cup packed brown sugar,197,0.875
egg,1.33333333333 large eggs,197,0.875
vanilla,0.666666666667 tablespoon vanilla,197,0.875
chocolate chip,8.0 ounces semisweet chocolate chips,197,0.875
walnut,0.666666666667 cup finely chopped walnuts optional,197,0.875
sugar,2.0 cups sugar,201,0.625
milk,0.5 cup whole milk,201,0.625
cocoa,3.0 tablespoons unsweetened cocoa powder,201,0.625
butter,4.0 tablespoons unsalted butter,201,0.625
oat,3.0 cups rolled oats,201,0.625
coconut,1.0 cup flaked coconut,201,0.625
vanilla,1.0 teaspoon vanilla extract,201,0.625
other,1.0 cup mini marshmallows,201,0.625
all purpose flour,3.0 cups all purpose flour,215,0.875
baking powder,2.0 teaspoon baking powder,215,0.875
salt,1.0 teaspoon kosher salt,215,0.875
baking soda,0.5 teaspoon baking soda,215,0.875
butter,"1.0 cup 1 stick unsalted butter, room temperature",215,0.875
brown sugar,1.5 cup packed light brown sugar,215,0.875
sugar,1.0 cup sugar,215,0.875
sugar,0.5 cup powdered sugar,215,0.875
egg,4.0 large egg yolks,215,0.875
egg,2.0 large egg,215,0.875
vanilla,2.0 teaspoon vanilla extract,215,0.875
chocolate,"16.0 ounces semisweet or bittersweet chocolate do not exceed 72% cacao, coarsely chopped",215,0.875
salt,maldon or other flaky sea salt,215,0.875
all purpose flour,2.0 cups all purpose flour,220,0.75
baking soda,1.33333333333 teaspoon baking soda,220,0.75
salt,0.666666666667 teaspoon salt,220,0.75
butter,"2.66666666667 sticks 1 cup unsalted butter, softened",220,0.75
brown sugar,1.0 cup firmly packed light brown sugar,220,0.75
sugar,0.666666666667 cup granulated sugar,220,0.75
egg,1.33333333333 large egg,220,0.75
vanilla,1.33333333333 teaspoon vanilla,220,0.75
oat,4.0 cups old fashioned rolled oats,220,0.75
fruit,1.33333333333 cup golden raisins,220,0.75
chocolate chip,1.33333333333 cup semisweet chocolate chips,220,0.75
cooking spray,vegetable oil cooking spray,221,0.625
oat,2.0 cups old fashioned oats,221,0.625
all purpose flour,2.66666666667 cups all purpose flour,221,0.625
baking powder,0.666666666667 tsp baking powder,221,0.625
baking soda,0.666666666667 tsp baking soda,221,0.625
salt,0.333333333333 tsp salt,221,0.625
other,"1.0 cup drained great northern, cannellini or any white beans, liquid reserved",221,0.625
butter,"4.0 tbsp butter, softened",221,0.625
brown sugar,1.33333333333 cup firmly packed light brown sugar,221,0.625
egg,2.66666666667 large eggs,221,0.625
vanilla,1.33333333333 tsp pure vanilla extract,221,0.625
milk,1.33333333333 cup milk chocolate chips,221,0.625
all purpose flour,5.14285714286 cups all purpose flour,230,0.875
baking soda,2.57142857143 teaspoons baking soda,230,0.875
salt,2.57142857143 teaspoons salt,230,0.875
butter,"3.42857142857 sticks 1 cup unsalted butter, melted and cooled slightly",230,0.875
brown sugar,2.57142857143 cups packed light brown sugar,230,0.875
sugar,1.71428571429 cup granulated sugar,230,0.875
egg,5.14285714286 large eggs,230,0.875
vanilla,2.57142857143 teaspoons vanilla,230,0.875
chocolate chip,4.28571428571 cups semisweet chocolate chips 16 ounces,230,0.875
all purpose flour,2.66666666667 cup all purpose flour,255,0.625
cinnamon,1.33333333333 teaspoon ground cinnamon,255,0.625
baking soda,1.33333333333 teaspoon baking soda,255,0.625
salt,0.666666666667 teaspoon salt,255,0.625
butter,"1.33333333333 cup butter, room temperature",255,0.625
brown sugar,2.0 cup packed golden brown sugar,255,0.625
vanilla,4.0 teaspoons vanilla extract,255,0.625
other,0.666666666667 teaspoon almond extract,255,0.625
egg,2.66666666667 large egg,255,0.625
pecan,2.66666666667 cup coarsely chopped pecans,255,0.625
chocolate,"16.0 ounces semisweet chocolate, coarsely chopped",255,0.625
oat,"4.5 cups old fashioned oats, divided",257,0.875
cornstarch,2.0 tablespoon cornstarch,257,0.875
baking powder,1.0 teaspoon baking powder,257,0.875
butter,"1.0 cup unsalted butter, softened",257,0.875
sugar,0.666666666667 cup granulated sugar,257,0.875
brown sugar,0.666666666667 cup packed light brown sugar,257,0.875
egg,2.0 large egg,257,0.875
vanilla,2.0 teaspoon pure vanilla extract,257,0.875
chocolate,2.0 cup coarsely chopped bittersweet chocolate at least 65 percent cacao,257,0.875
other,parchment paper,257,0.875
salt,1.0 tsp kosher or sea salt,257,0.875
oat,4.0 cups old fashioned rolled oats,258,0.75
all purpose flour,3.5 cups all purpose flour,258,0.75
baking soda,2.0 teaspoon baking soda,258,0.75
salt,1.0 teaspoon salt,258,0.75
butter,"1.0 cup 1 stick butter, room temperature",258,0.75
brown sugar,2.0 cup packed golden brown sugar,258,0.75
sugar,1.0 cup sugar,258,0.75
egg,4.0 large eggs,258,0.75
vanilla,2.0 teaspoon vanilla extract,258,0.75
walnut,2.0 cup chopped walnuts,258,0.75
milk,25.0  ounce package about 2 cups milk chocolate chips,258,0.75
cooking spray,cooking spray or oil mister optional,282,1.0
sugar,1.0 cup raw sugar,282,1.0
brown sugar,0.666666666667 cup unpacked dark brown sugar,282,1.0
other,0.5 cup mashed avocado,282,1.0
other,2.0 tablespoon unsweetened applesauce,282,1.0
egg,2.0 large egg white,282,1.0
vanilla,2.0 teaspoon pure vanilla extract,282,1.0
wheat flour,1.0 cup 65 grams white whole wheat unbleached flour i recommend king arthur,282,1.0
all purpose flour,0.666666666667 cup 50 grams all purpose flour,282,1.0
cocoa,0.666666666667 cup unsweetened cocoa powder i use trader joe's,282,1.0
baking soda,0.5 teaspoon baking soda,282,1.0
salt,0.25 teaspoon kosher salt,282,1.0
chocolate,0.666666666667 cup semisweet chocolate chunks,282,1.0
walnut,1.0 cup finely chopped walnuts,282,1.0
all purpose flour,3.52941176471 cups all purpose flour,294,0.75
baking soda,1.41176470588 teaspoon baking soda,294,0.75
baking powder,0.705882352941 teaspoon baking powder,294,0.75
salt,1.41176470588 teaspoon salt,294,0.75
butter,"2.82352941176 sticks 1 cup unsalted butter, softened",294,0.75
sugar,1.41176470588 cup granulated sugar,294,0.75
brown sugar,0.705882352941 cup packed light brown sugar,294,0.75
egg,2.82352941176 large eggs,294,0.75
chocolate,12.7058823529 ounces fine quality bittersweet not unsweetened or semisweet chocolate,294,0.75
fruit,1.05882352941 cup quartered dried apricots about 4 ounces,294,0.75
fruit,1.41176470588 cup dried tart cherries about 5 ounces,294,0.75
pecan,1.41176470588 cup coarsely chopped pecans about 4 ounces,294,0.75
all purpose flour,6.0 cup all purpose flour,297,0.5
sugar,2.0 cup sugar,297,0.5
cornstarch,15.0 tablespoons cornstarch,297,0.5
other,9.0 teaspoons grated lemon peel,297,0.5
other,3.0 teaspoon freshly grated nutmeg,297,0.5
salt,0.75 teaspoon salt,297,0.5
butter,"3.0 cup 1 stick chilled unsalted butter, cut into 1/2 inch pieces",297,0.5
vanilla,3.0 teaspoon vanilla extract,297,0.5
walnut,3.0 cup walnuts,297,0.5
chocolate chip,"12.0 ounces bittersweet not unsweetened or semisweet chocolate, chopped, or 1/3 cup mini chocolate chips",297,0.5
sugar,sugar,297,0.5
other,6.0 pint ice cream of choice,297,0.5
chocolate,"18.0 ounces semisweet chocolate, chopped",297,0.5
oat,3.0 cups old fashioned oatmeal,310,0.75
all purpose flour,1.0 cup all purpose flour,310,0.75
baking soda,2.0 teaspoon baking soda,310,0.75
baking powder,2.0 teaspoon baking powder,310,0.75
butter,"1.0 cup 1 stick unsalted butter, room temperature",310,0.75
brown sugar,1.33333333333 cup firmly packed dark brown sugar,310,0.75
sugar,1.0 cup sugar,310,0.75
egg,2.0 egg,310,0.75
vanilla,2.0 teaspoon vanilla,310,0.75
fruit,1.5 cup chopped pitted dates about 5 ounces,310,0.75
pecan,1.5 cup chopped pecans about 3 ounces,310,0.75
chocolate chip,1.33333333333 cup semisweet chocolate chips,310,0.75
wheat flour,1.0 cup whole wheat flour,323,0.875
oat,2.0 cup quick cooking rolled oats,323,0.875
coconut,2.0 cup unsweetened shredded coconut,323,0.875
baking soda,2.0 teaspoon baking soda,323,0.875
salt,2.0 teaspoon kosher salt,323,0.875
butter,"2.0 stick 4 ounces unsalted butter, at room temperature",323,0.875
brown sugar,1.0 cup packed light brown sugar,323,0.875
sugar,0.5 cup granulated sugar,323,0.875
vanilla,2.0 teaspoon pure vanilla extract,323,0.875
egg,"2.0 large egg, at room temperature, plus 2.0 egg yolk",323,0.875
chocolate chip,1.0 cup semisweet chocolate chips,323,0.875
shortening,0.8 cup solid vegetable shortening,328,0.875
butter,"0.8 cup 1 stick unsalted butter, room temperature",328,0.875
sugar,1.2 cup sugar,328,0.875
brown sugar,1.2 cup firmly packed dark brown sugar,328,0.875
egg,3.2 eggs,328,0.875
vanilla,7.04  ounce package vanilla instant pudding mix,328,0.875
vanilla,1.6 tablespoon vanilla extract,328,0.875
baking soda,1.6 teaspoon baking soda,328,0.875
water,1.6 teaspoon water,328,0.875
cinnamon,1.6 teaspoon ground cinnamon,328,0.875
other,0.8 teaspoon ground nutmeg,328,0.875
salt,0.8 teaspoon salt,328,0.875
oat,1.6 cup old fashioned oats,328,0.875
all purpose flour,3.6 cups all purpose flour,328,0.875
chocolate chip,20.8  ounce package semisweet chocolate chips,328,0.875
walnut,2.4 cups chopped walnuts about 6 ounces,328,0.875
all purpose flour,1.6 cups all purpose flour,348,0.75
baking powder,0.8 teaspoon baking powder,348,0.75
cinnamon,0.8 teaspoon cinnamon,348,0.75
salt,0.8 teaspoon salt,348,0.75
butter,"1.2 sticks unsalted butter, softened",348,0.75
sugar,0.4 cup granulated sugar,348,0.75
brown sugar,0.6 cup packed light brown sugar,348,0.75
egg,1.6 large eggs,348,0.75
vanilla,0.8 teaspoon vanilla,348,0.75
chocolate chip,9.6 ounces semisweet chocolate chips,348,0.75
fruit,0.8 cup dried tart cherries,348,0.75
chocolate,"30.0 ounces bittersweet not unsweetened or semisweet chocolate, chopped",360,1.0
all purpose flour,1.5 cup plus 2 teaspoons all purpose flour,360,1.0
cocoa,9.0 tablespoons unsweetened cocoa powder,360,1.0
baking powder,0.75 teaspoon baking powder,360,1.0
salt,0.75 teaspoon salt,360,1.0
sugar,3.0 cup plus 3.0 tablespoon sugar,360,1.0
butter,"15.0 tablespoons unsalted butter, room temperature",360,1.0
egg,9.0 large eggs,360,1.0
vanilla,4.5 teaspoons vanilla extract,360,1.0
chocolate chip,18.0 ounces 1 cup semisweet chocolate chips,360,1.0
all purpose flour,2.0 cups all purpose flour,362,0.625
baking powder,1.33333333333 teaspoon baking powder,362,0.625
salt,0.666666666667 teaspoon kosher salt,362,0.625
baking soda,0.333333333333 teaspoon baking soda,362,0.625
egg,2.66666666667 large eggs,362,0.625
vanilla,1.33333333333 teaspoon vanilla extract,362,0.625
butter,"13.3333333333 tablespoons unsalted butter, room temperature",362,0.625
sugar,1.0 cup granulated sugar,362,0.625
brown sugar,1.0 cup packed light brown sugar,362,0.625
chocolate chip,10.6666666667 ounces chopped high quality semisweet chocolate or chocolate chips about 1 1/2 cups,362,0.625
brown sugar,1.14285714286 cup packed golden brown sugar,375,0.75
sugar,0.571428571429 cup sugar,375,0.75
shortening,"0.571428571429 cup solid vegetable shortening, room temperature",375,0.75
butter,"0.571428571429 cup 1 stick unsalted butter, room temperature",375,0.75
egg,2.28571428571 large eggs,375,0.75
vanilla,1.14285714286 teaspoon vanilla extract,375,0.75
all purpose flour,3.42857142857 cups all purpose flour,375,0.75
baking soda,1.14285714286 teaspoon baking soda,375,0.75
salt,1.14285714286 teaspoon salt,375,0.75
chocolate chip,14.8571428571  ounce package semisweet chocolate chips,375,0.75
all purpose flour,2.0 cup all purpose flour,386,0.875
baking soda,1.0 teaspoon baking soda,386,0.875
salt,0.5 teaspoon salt,386,0.875
butter,"1.0 cup plus 2 tablespoons 1 1/4 sticks unsalted butter, room temperature",386,0.875
sugar,1.0 cup sugar,386,0.875
brown sugar,1.0 cup packed dark brown sugar,386,0.875
egg,2.0 large egg,386,0.875
vanilla,2.0 teaspoon vanilla extract,386,0.875
other,1.0 teaspoon almond extract,386,0.875
oat,2.0 cup old fashioned oats,386,0.875
chocolate chip,3.0 cups semisweet chocolate chips,386,0.875
fruit,2.0 cup dried tart cherries,386,0.875
other,"1.0 cup slivered almonds, toasted",386,0.875
all purpose flour,1.33333333333 cups all purpose flour,388,0.75
baking soda,0.666666666667 teaspoon baking soda,388,0.75
baking powder,0.333333333333 teaspoon baking powder,388,0.75
salt,0.666666666667 teaspoon salt,388,0.75
oat,0.666666666667 cup old fashioned rolled oats,388,0.75
butter,"1.33333333333 sticks 1 cup unsalted butter, softened",388,0.75
brown sugar,0.833333333333 cups firmly packed light brown sugar,388,0.75
sugar,0.166666666667 cup granulated sugar,388,0.75
egg,1.33333333333 large eggs,388,0.75
vanilla,0.666666666667 teaspoon vanilla,388,0.75
chocolate chip,1.33333333333 cups 11.33333333333 ounces semisweet chocolate chips,388,0.75
margarine,1.0 cup 2 sticks margarine,398,0.875
brown sugar,1.0 cup packed dark brown sugar,398,0.875
sugar,0.5 cup plus 2 tablespoons sugar,398,0.875
egg,2.0 large eggs,398,0.875
vanilla,1.0 teaspoon vanilla extract,398,0.875
all purpose flour,2.0 cups plus 2.0 tablespoons all purpose flour,398,0.875
baking soda,0.75 teaspoon baking soda,398,0.875
salt,0.5 teaspoon salt,398,0.875
oat,2.5 cups quick cooking oats,398,0.875
chocolate chip,2.0 cups semisweet chocolate chips about 12.0 ounces,398,0.875
pecan,1.0 cup chopped pecans,398,0.875
butter,"436.363636364 g about 14 tablespoons cold unsalted butter, chopped",399,1.0
brown sugar,2.18181818182 cup 175g brown sugar,399,1.0
sugar,1.63636363636 cup 165g white granulated sugar,399,1.0
