PC1,PC2,Cluster,Sentence
-0.93860638 ,0.07568772 ,3 , "Beat  in  the  vanilla ,  egg ,  and  egg  yolk  until  light  and  creamy. "
-0.77327520 ,0.02074510 ,3 , "Mix  in  the  sifted  ingredients  until  just  blended. "
-0.58792311 ,-0.40252290 ,3 , "Stir  in  the  chocolate  chips  by  hand  using  a  wooden  spoon. "
0.04248113 ,-0.20979551 ,2 , "Drop  cookie  dough  1/4  cup  at  a  time  onto  the  prepared  cookie  sheets. "
0.46781212 ,-0.89272076 ,0 , "Cookies  should  be  about  3  inches  apart. "
0.51813513 ,-0.13863383 ,6 , "Bake  for  15  to  17  minutes  in  the  preheated  oven ,  or  until  the  edges  are  lightly  toasted. "
0.39729285 ,-1.07545204 ,0 , "Cool  on  baking  sheets  for  a  few  minutes  before  transferring  to  wire  racks  to  cool  completely. "
2.30152189 ,1.43608348 ,1 , "Preheat  oven  to  350  degrees  F "
-0.31318438 ,0.34643027 ,3 , "(175  degrees  C).Cream  together  the  butter ,  white  sugar ,  and  brown  sugar  until  smooth. "
-0.49021366 ,-0.73123254 ,3 , "Beat  in  the  eggs  one  at  a  time ,  then  stir  in  the  vanilla. "
-0.42030493 ,0.49540967 ,4 , "Dissolve  baking  soda  in  hot  water.     "
-0.39539546 ,-0.17165360 ,3 , "Add  to  batter  along  with  salt. "
-1.10046967 ,0.66974148 ,5 , "Stir  in  flour ,  chocolate  chips ,  and  nuts. "
0.59064537 ,0.18567686 ,2 , "Drop  by  large  spoonfuls  onto  ungreased  pans. "
0.62438847 ,-0.10713184 ,6 , "Bake  for  about  10  minutes  in  the  preheated  oven ,  or  until  edges  are  nicely  browned. "
1.48522514 ,0.72468749 ,1 , "Preheat  the  oven  to "
-0.07582930 ,0.41657032 ,3 , "325  degrees  F  (165  degrees  C).In  a  large  bowl ,  cream  together  the  butter ,  brown  sugar ,  and  white  sugar  until  smooth. "
-0.53562411 ,-0.56048168 ,3 , "Beat  in  eggs  one  at  a  time ,  then  stir  in  vanilla. "
-0.82063569 ,0.52500414 ,4 , "Combine  the  flour ,  baking  soda ,  and  salt;  stir  into  the  creamed  mixture  until  just  blended. "
-0.98935103 ,0.30257912 ,5 , "Mix  in  the  quick  oats ,  walnuts ,  and  chocolate  chips. "
0.42830554 ,0.61117487 ,2 , "Drop  by  heaping  spoonfuls  onto  ungreased  baking  sheets. "
1.16922803 ,0.22761184 ,6 , "Bake  for  12  minutes  in  the  preheated  oven. "
0.46959103 ,-0.98127539 ,0 , "Allow  cookies  to  cool  on  baking  sheet  for  5  minutes  before  transferring  to  a  wire  rack  to  cool  completely. "
1.94003157 ,0.98018947 ,1 , "Preheat  oven  to  350  degrees  F  (175  degrees  C). "
0.33877288 ,0.23088533 ,2 , "Grease  cookie  sheets. "
-0.96746075 ,0.28326272 ,3 , "In  a  large  bowl ,  cream  together  the  butter  flavored  shortening ,  brown  sugar  and  white  sugar  until  light  and  fluffy. "
-0.42332534 ,-0.73709582 ,3 , "Add  the  eggs  one  at  a  time ,  beating  well  with  each  addition ,  then  stir  in  the  vanilla  .Combine "
-0.82032776 ,0.73345571 ,4 , "the  flour ,  baking  soda  and  salt;  gradually  stir  into  the  creamed  mixture. "
-0.60968975 ,-0.42712387 ,5 , "Finally ,  fold  in  the  chocolate  chips. "
0.14501578 ,-0.48209680 ,2 , "Drop  by  rounded  spoonfuls  onto  the  prepared  cookie  sheets. "
0.72967418 ,-0.04398763 ,6 , "Bake  for  8  to  10  minutes  in  the  preheated  oven ,  until  light  brown. "
0.43929383 ,-0.98649672 ,0 , "Allow  cookies  to  cool  on  baking  sheet  for  5  minutes  before  removing  to  a  wire  rack  to  cool  completely. "
2.04531532 ,1.57995425 ,1 , "Preheat  oven  to "
-0.04651927 ,0.50035994 ,3 , "350  degrees  F  (175  degrees  C).In  a  medium  bowl ,  cream  together  the  butter ,  white  sugar  and  brown  sugar  until  smooth. "
-1.12167948 ,0.41740037 ,3 , "Stir  in  the  peanut  butter ,  vanilla  and  egg  until  well  blended. "
-0.68117255 ,0.47365838 ,4 , "Combine  the  flour ,  baking  soda  and  salt;  stir  into  the  batter  just  until  moistened. "
-0.74235877 ,0.12469264 ,5 , "Mix  in  the  oats  and  chocolate  chips  until  evenly  distributed. "
0.42386731 ,-0.40192292 ,2 , "Drop  by  tablespoonfuls  on  to  lightly  greased  cookie  sheets. "
0.67209333 ,-0.33665307 ,6 , "Bake  for  10  to  12  minutes  in  the  preheated  oven ,  until  the  edges  start  to  brown. "
0.52585866 ,-1.12040762 ,0 , "Cool  on  cookie  sheets  for  about  5  minutes  before  transferring  to  wire  racks  to  cool  completely. "
2.04531532 ,1.57995425 ,1 , "Preheat  oven  to "
0.39389362 ,0.83039369 ,3 , "375  degrees  F  (190  degrees  C).In  a  mixing  bowl ,  cream  butter  and  sugars. "
-1.13069656 ,0.59797619 ,4 , "Add  pudding  mix ,  eggs  and  vanilla. "
-0.77554924 ,0.61591382 ,4 , "Combine  flour  and  baking  soda;  add  to  creamed  mixture  and  mix  well. "
-0.75401934 ,0.11854008 ,5 , "Fold  in  chocolate  chips. "
0.77603434 ,0.05975512 ,2 , "Drop  by  teaspoonfuls  onto  ungreased  baking  sheets. "
0.67606823 ,-0.15380882 ,6 , "Bake  for  10  to  12  minutes  or  until  lightly  browned. "
0.43454913 ,0.51492810 ,3 , "Preheat  oven  to  350  degrees  F  (175  degrees  C).In  a  large  bowl ,  cream  together  the  butter  and  sugar  until  smooth. "
-0.49021366 ,-0.73123254 ,3 , "Beat  in  the  eggs  one  at  a  time ,  then  stir  in  the  vanilla. "
-0.94086346 ,0.84208861 ,4 , "Combine  the  flour ,  cocoa ,  baking  soda  and  salt;  stir  into  the  creamed  mixture. "
-0.71684112 ,-0.22995797 ,5 , "Fold  in  the  white  chocolate  chips. "
0.67005697 ,-0.25399416 ,2 , "Drop  by  rounded  teaspoonfuls  onto  ungreased  cookie  sheets. "
0.73782252 ,-0.24528437 ,6 , "Bake  for  8  to  10  minutes  in  the  preheated  oven ,  until  cookies  are  set. "
0.43929383 ,-0.98649672 ,0 , "Allow  cookies  to  cool  on  baking  sheet  for  5  minutes  before  removing  to  a  wire  rack  to  cool  completely. "
1.94003157 ,0.98018947 ,1 , "Preheat  oven  to  350  degrees  F  (175  degrees  C). "
0.11248995 ,0.38148880 ,2 , "Lightly  grease  cookie  sheets. "
-0.92777629 ,0.23075984 ,3 , "In  a  medium  bowl ,  cream  together  the  butter ,  brown  sugar  and  white  sugar  until  smooth. "
-1.00170022 ,0.16267486 ,3 , "Stir  in  the  egg  and  vanilla. "
-0.85247118 ,0.84262584 ,4 , "Sift  together  the  flour ,  baking  powder ,  baking  soda  and  salt ,  stir  into  the  creamed  mixture. "
-0.97533331 ,0.28545018 ,5 , "Finally ,  stir  in  the  rolled  oats ,  white  chocolate  chips  and  pecans. "
0.05667629 ,-0.22025780 ,2 , "Drop  by  tablespoons  onto  the  prepared  cookie  sheets. "
1.16824475 ,-0.02957496 ,6 , "Bake  for  10  to  12  minutes  in  the  preheated  oven. "
0.51497369 ,-0.69277984 ,0 , "Remove  from  baking  sheets  to  cool  on  wire  racks. "
-0.82092541 ,0.73817599 ,4 , "Whisk  flour ,  salt ,  and  baking  soda  together  in  a  bowl. "
-0.54064514 ,-0.01871859 ,3 , "In  a  separate  bowl ,  cream  the  butter ,  white  sugar ,  and  brown  sugar  together  until  mixture  is  light  and  fluffy ,  3  to  4  minutes. "
-1.01799783 ,0.30776883 ,3 , "Add  the  egg ,  milk ,  and  vanilla  extract. "
-0.26968867 ,-0.70365028 ,0 , "Whisk  liquids  together  in  small  areas  around  the  bowl ,  then  all  together  to  avoid  separation. "
-0.67088744 ,0.25895397 ,4 , "Pour  dry  ingredients  into  the  wet  ingredients;  stir  until  flour  is  thoroughly  mixed  in. "
-0.98723006 ,0.16618870 ,5 , "Stir  in  the  chocolate  chips. "
0.21297127 ,-0.41424500 ,2 , "Transfer  dough  to  a  resealable  plastic  bag. "
0.43115985 ,-0.33247295 ,6 , "Refrigerate  until  dough  is  firm ,  at  least  2  hours. "
1.97257623 ,1.02417523 ,1 , "Preheat  oven  to  375  degrees  F  (190  degrees  C). "
0.37464842 ,-0.09723558 ,2 , "Line  baking  sheet  with  parchment  paper. "
0.30392740 ,-0.27484518 ,0 , "Scoop  out  rounded  tablespoons  of  dough  and  place  on  prepared  baking  sheet ,  leaving  4  inches  of  space  between  cookies  (about  8  per  sheet). "
0.52988582 ,0.23716028 ,6 , "Bake  in  preheated  oven  until  cookies  are  golden  brown ,  about  12  minutes. "
0.35839930 ,-0.77538855 ,0 , "Slide  parchment  and  cookies  onto  a  cooling  rack  for  a  few  minutes. "
0.23937044 ,-0.65282045 ,0 , "Remove  parchment  and  finish  cooling  the  cookies  on  the  rack. "
2.28164708 ,1.29107179 ,1 , "Preheat  oven  to  350  degrees  F  (175  degrees "
0.76780763 ,-0.35923145 ,0 , "C).Line "
0.16144414 ,0.10280878 ,2 , "two  baking  sheets  with  parchment  paper  or  silicone  baking  mats. "
-0.09801078 ,0.04686946 ,3 , "Heat  currants  and  coffee  liqueur  in  a  saucepan  over  low  heat  until  it  begins  to  simmer ,  about  2  minutes. "
0.21172986 ,-0.79113953 ,0 , "Remove  from  heat  and  set  aside. "
-1.29049712 ,0.84661606 ,5 , "Combine  unsweetened  chocolate ,  bittersweet  chocolate ,  and  butter  in  bowl. "
0.01024918 ,-0.38397630 ,0 , "Place  bowl  on  top  of  a  saucepan  filled  with  1-inch  of  water  set  over  low  heat. "
-0.35984731 ,0.30265300 ,3 , "Stir  chocolate  mixture  occasionally  until  melted ,  about  5  minutes. "
0.21172986 ,-0.79113953 ,0 , "Remove  from  heat  and  set  aside. "
-0.97128290 ,0.76453106 ,4 , "Mix  flour ,  black  pepper ,  baking  powder ,  salt ,  cinnamon ,  and  cayenne  pepper  in  large  bowl  and  set  aside. "
-0.46878008 ,-0.13444787 ,3 , "Whisk  sugar  and  eggs  in  a  small  bowl  until  light ,  fluffy ,  and  pale  yellow ,  about  5  minutes. "
-1.18530106 ,0.87014014 ,4 , "Slowly  whisk  in  vanilla  and  melted  chocolate  mixture. "
-0.97800282 ,0.87156809 ,4 , "Fold  flour  mixture  into  sugar  and  chocolate  mixture  until  combined. "
-1.15438464 ,0.65457061 ,5 , "Stir  in  dark  chocolate  chips  and  liqueur-soaked  currants. "
0.26340921 ,0.15995757 ,2 , "Drop  spoonfuls  of  cookie  dough  2  inches  apart  onto  prepared  baking  sheets. "
0.62779324 ,-0.20646679 ,6 , "Bake  in  the  preheated  oven  until  cookies  are  almost  set ,  about  12  minutes. "
0.45605236 ,-0.55389303 ,0 , "Remove  from  the  oven  and  leave  on  baking  sheets  to  cool ,  5  minutes. "
0.64083482 ,-0.79952693 ,0 , "Transfer  to  cooling  rack  and  allow  to  finish  cooling ,  5  minutes. "
-0.53196923 ,0.07772501 ,3 , "In  the  microwave  or  in  a  metal  bowl  over  a  pan  of  simmering  water ,  melt  unsweetened  chocolate ,  1  cup  of  the  chocolate  chips ,  and  the  butter  stirring  occasionally  until  smooth. "
0.23144803 ,-0.96208389 ,0 , "Remove  from  heat  and  set  aside  to  cool. "
-0.42754805 ,-0.23315318 ,3 , "In  a  large  bowl ,  whip  eggs  and  sugar  until  thick  and  pale ,  about  2  minutes. "
-0.98133440 ,0.02213365 ,3 , "Stir  in  the  vanilla  and  the  chocolate  mixture  until  well  mixed. "
-0.97005098 ,0.80627794 ,4 , "Combine  the  flour ,  cocoa ,  baking  powder  and  salt;  gradually  stir  into  the  chocolate  mixture. "
-0.51618048 ,0.33587228 ,5 , "Fold  in  remaining  1  cup  chocolate  chips. "
0.38025849 ,-0.72960106 ,0 , "Cover  dough  and  chill  for  at  least  an  hour  or  overnight. "
1.94003157 ,0.98018947 ,1 , "Preheat  oven  to  350  degrees  F  (175  degrees  C). "
0.14353864 ,0.06221378 ,2 , "Roll  chilled  dough  into  1  inch  balls. "
0.74541091 ,0.06428929 ,2 , "Place  on  ungreased  cookie  sheets "
0.38946574 ,-1.14531800 ,0 , "so  they  are  2  inches  apart. "
1.17421146 ,-0.04756943 ,6 , "Bake  for  9  to  11  minutes  in  the  preheated  oven. "
0.43929383 ,-0.98649672 ,0 , "Allow  cookies  to  cool  on  baking  sheet  for  5  minutes  before  removing  to  a  wire  rack  to  cool  completely. "
1.94003157 ,0.98018947 ,1 , "Preheat  oven  to  350  degrees  F  (175  degrees  C). "
0.33877288 ,0.23088533 ,2 , "Grease  cookie  sheets. "
-0.90799534 ,0.12585481 ,3 , "In  a  large  bowl ,  cream  together  the  butter ,  brown  sugar  and  white  sugar  until  light  and  fluffy. "
-0.21473912 ,-1.06604457 ,0 , "Add  the  eggs  one  at  a  time ,  beating  well  with  each  addition. "
-0.92911490 ,0.67434958 ,4 , "Combine  the  cocoa ,  flour ,  and  baking  soda ,  gradually  stir  into  the  creamed  mixture. "
-0.71690241 ,-0.24214650 ,5 , "Finally ,  fold  in  white  chocolate  chips. "
0.14501578 ,-0.48209680 ,2 , "Drop  by  rounded  spoonfuls  onto  the  prepared  cookie  sheets. "
0.58189163 ,-0.32203375 ,6 , "Bake  for  8  to  10  minutes  in  the  preheated  oven ,  until  puffy  but  still  soft. "
0.43929383 ,-0.98649672 ,0 , "Allow  cookies  to  cool  on  baking  sheet  for  5  minutes  before  removing  to  a  wire  rack  to  cool  completely. "
1.97257623 ,1.02417523 ,1 , "Preheat  oven  to  375  degrees  F  (190  degrees  C). "
0.28881434 ,-0.47852839 ,2 , "Line  a  baking  sheet  with  a  silicon  mat  or  parchment  paper. "
-0.55861615 ,-0.00143349 ,3 , "Mash  the  butter ,  white  sugar ,  and  brown  sugar  together  in  a  large  mixing  bowl  with  a  spatula  until  creamy  and  smooth ,  2  to  3  minutes. "
-0.03756616 ,-0.22514867 ,3 , "Add  the  egg  and  vanilla;  whisk  vigorously  for  20  to  30  seconds. "
-0.68764306 ,0.20794372 ,4 , "Whisk  the  flour ,  salt ,  and  baking  soda  together  in  a  small  bowl;  dump  into  the  butter  mixture  and  mix  until  just  combined. "
-1.02121570 ,0.24072327 ,5 , "Fold  the  semi-sweet  chocolate  chips ,  white  chocolate  chips ,  and  milk  chocolate  chips  into  the  mixture. "
-0.03932553 ,-0.47337974 ,2 , "Arrange  onto  the  prepared  baking  sheet  using  a  small  scoop  or  large  spoon. "
0.63560913 ,-0.38027405 ,6 , "Bake  in  the  preheated  oven  until  golden  brown ,  about  10  minutes;  remove  from  oven  and  allow  to  cool  on  the  sheet  for  10  minutes. "
0.56899669 ,-1.11760914 ,0 , "Transfer  to  a  wire  rack  to  finish  cooling  completely. "
2.31624618 ,1.53471762 ,1 , "Preheat  oven  to  375  degrees  F "
-0.57688235 ,0.46709328 ,3 , "(190  degrees  C).In  a  large  bowl ,  cream  together  the  butter ,  peanut  butter ,  brown  sugar ,  and  white  sugar  until  smooth. "
-0.66129012 ,-0.31310517 ,3 , "Beat  in  the  eggs  one  at  a  time ,  then  stir  in  the  corn  syrup ,  water ,  and  vanilla. "
-0.95762066 ,0.90307336 ,4 , "Combine  the  flour ,  baking  soda ,  and  salt;  stir  into  the  peanut  butter  mixture. "
-0.70751556 ,0.06862389 ,5 , "Fold  in  chocolate  chunks. "
0.83071089 ,0.06460678 ,2 , "Drop  by  1/4  cupfuls  3  inches  apart  onto  ungreased  baking  sheets. "
0.70515642 ,-0.25528770 ,6 , "Bake  for  12  to  14  minutes  in  the  preheated  oven ,  or  until  edges  are  golden. "
0.36065262 ,-1.09803727 ,0 , "Allow  cookies  to  cool  for  1  minute  on  the  cookie  sheet  before  removing  to  wire  racks  to  cool  completely. "
0.18972802 ,0.59137955 ,3 , "Preheat  the  oven  to  350  degrees  F  (175  degrees  C).In  a  medium  bowl ,  cream  together  the  butter ,  brown  sugar ,  and  white  sugar. "
-0.98645967 ,0.00675710 ,3 , "Mix  in  the  eggs  and  vanilla. "
-0.80276420 ,0.70056874 ,4 , "Combine  the  flour ,  baking  soda ,  baking  powder ,  and  salt;  add  to  butter  mixture ,  and  stir  until  just  blended. "
-0.76168338 ,-0.14475206 ,3 , "With  a  large  wooden  spoon ,  stir  in  the  white ,  milk ,  and  semi-sweet  chocolate  chips. "
-0.99786253 ,0.77233467 ,5 , "Stir  in  the  walnuts ,  pecans ,  and  almonds. "
0.33503601 ,0.54626211 ,2 , "Drop  dough  by  heaping  spoonfuls  onto  ungreased  cookie  sheets. "
1.16824475 ,-0.02957496 ,6 , "Bake  for  10  to  12  minutes  in  the  preheated  oven. "
0.34262816 ,-0.98707893 ,0 , "Allow  cookies  to  cool  on  the  baking  sheet  before  transferring  to  wire  racks  to  cool  completely. "
-0.92568328 ,0.47423779 ,3 , "In  large  bowl ,  beat  butter ,  granulated  sugar ,  brown  sugar ,  and  vanilla  until  light  and  fluffy.     "
-0.24594212 ,-0.87406281 ,0 , "Add  eggs ,  one  at  a  time ,  beating  well. "
-0.71553838 ,0.41743332 ,4 , "Gradually  add  flour ,  salt ,  and  baking  soda ,  beating  until  well  blended.     "
-1.13954182 ,0.40183680 ,5 , "Stir  in  chocolate  chips  and  nuts. "
0.54445289 ,0.04928750 ,2 , "Spread  in  greased  14  inch  round  pizza  pan.     "
1.58693813 ,0.21924255 ,1 , "Bake  at  375  degrees  F  (190  degrees  C)  for  20-25  minutes.     "
0.40122864 ,-0.45415664 ,0 , "Cool  cookie  in  pan  on  a  cooling  rack.     "
0.05489582 ,-0.76695340 ,0 , "Decorate  as  desired. "
1.94003157 ,0.98018947 ,1 , "Preheat  oven  to  350  degrees  F  (175  degrees  C). "
-1.00296989 ,0.98660671 ,4 , "Whisk  together  the  flour ,  cocoa  powder ,  and  baking  soda. "
-0.68147153 ,-0.05247632 ,3 , "Beat  the  butter ,  white  sugar ,  and  brown  sugar  with  an  electric  mixer  in  a  large  bowl  until  smooth. "
-0.41087798 ,-0.80732728 ,3 , "Beat  in  one  egg  until  completely  incorporated. "
-0.65206328 ,-0.77144296 ,3 , "Beat  in  the  last  egg  along  with  the  vanilla. "
-0.61288495 ,0.08874204 ,3 , "Mix  in  the  flour  mixture  until  just  incorporated. "
-0.41731815 ,-0.28110843 ,3 , "Fold  in  the  chocolate  chips;  mixing  just  enough  to  evenly  combine. "
0.60802258 ,0.18702524 ,2 , "Drop  by  heaped  teaspoonfuls  onto  ungreased  baking  sheets. "
0.71181068 ,-0.21378897 ,6 , "Bake  in  the  preheated  oven  until  the  edges  are  golden ,  9  to  12  minutes. "
0.33317034 ,-1.05888386 ,0 , "Allow  the  cookies  to  cool  on  the  baking  sheet  for  1  minute  before  removing  to  a  wire  rack  to  cool  completely. "
0.30462352 ,0.49867611 ,3 , "Preheat  oven  to  350  degrees  F  (175  degrees  C).In  a  large  mixing  bowl ,  cream  together  the  butter  and  sugar  until  light  and  fluffy. "
0.63954607 ,-1.43290703 ,0 , "This  should  take  about  10  minutes! "
-0.24619623 ,-0.88587748 ,0 , "Add  the  eggs  one  at  a  time  and  mix  to  incorporate. "
