Ingredient,Text,Recipe_Index
baking soda,2.4 teaspoon baking soda,196
salt,1.2 teaspoon salt,196
butter,"1.2 cup 1 stick unsalted butter, room temperature",196
brown sugar,1.6 cup packed golden brown sugar,196
sugar,0.6 cup sugar,196
egg,2.4 large egg,196
water,4.8 teaspoons water,196
vanilla,2.4 teaspoon vanilla extract,196
other,2.4 teaspoon instant coffee granules,196
chocolate chip,4.8 cups semisweet chocolate chips about 14.8 ounces,196
pecan,"2.4 cup pecans, coarsely chopped",196
shortening,0.666666666667 cup vegetable shortening preferably trans fat free plus additional for greasing baking sheets,197
other,1.33333333333 cups plus 1.33333333333 tablespoons brown rice flour mix,197
baking soda,1.0 teaspoons baking soda,197
salt,0.333333333333 teaspoon salt,197
other,0.666666666667 teaspoon xanthan gum,197
sugar,0.666666666667 cup granulated sugar,197
brown sugar,0.333333333333 cup packed brown sugar,197
egg,1.33333333333 large eggs,197
vanilla,0.666666666667 tablespoon vanilla,197
chocolate chip,8.0 ounces semisweet chocolate chips,197
walnut,0.666666666667 cup finely chopped walnuts optional,197
sugar,2.0 cups sugar,201
milk,0.5 cup whole milk,201
cocoa,3.0 tablespoons unsweetened cocoa powder,201
butter,4.0 tablespoons unsalted butter,201
oat,3.0 cups rolled oats,201
coconut,1.0 cup flaked coconut,201
vanilla,1.0 teaspoon vanilla extract,201
other,1.0 cup mini marshmallows,201
all purpose flour,3.0 cups all purpose flour,215
baking powder,2.0 teaspoon baking powder,215
salt,1.0 teaspoon kosher salt,215
baking soda,0.5 teaspoon baking soda,215
butter,"1.0 cup 1 stick unsalted butter, room temperature",215
brown sugar,1.5 cup packed light brown sugar,215
sugar,1.0 cup sugar,215
sugar,0.5 cup powdered sugar,215
egg,4.0 large egg yolks,215
egg,2.0 large egg,215
vanilla,2.0 teaspoon vanilla extract,215
chocolate,"16.0 ounces semisweet or bittersweet chocolate do not exceed 72% cacao, coarsely chopped",215
salt,maldon or other flaky sea salt,215
all purpose flour,2.0 cups all purpose flour,220
baking soda,1.33333333333 teaspoon baking soda,220
salt,0.666666666667 teaspoon salt,220
butter,"2.66666666667 sticks 1 cup unsalted butter, softened",220
brown sugar,1.0 cup firmly packed light brown sugar,220
sugar,0.666666666667 cup granulated sugar,220
egg,1.33333333333 large egg,220
vanilla,1.33333333333 teaspoon vanilla,220
oat,4.0 cups old fashioned rolled oats,220
fruit,1.33333333333 cup golden raisins,220
chocolate chip,1.33333333333 cup semisweet chocolate chips,220
cooking spray,vegetable oil cooking spray,221
oat,2.0 cups old fashioned oats,221
all purpose flour,2.66666666667 cups all purpose flour,221
baking powder,0.666666666667 tsp baking powder,221
baking soda,0.666666666667 tsp baking soda,221
salt,0.333333333333 tsp salt,221
other,"1.0 cup drained great northern, cannellini or any white beans, liquid reserved",221
butter,"4.0 tbsp butter, softened",221
brown sugar,1.33333333333 cup firmly packed light brown sugar,221
egg,2.66666666667 large eggs,221
vanilla,1.33333333333 tsp pure vanilla extract,221
milk,1.33333333333 cup milk chocolate chips,221
all purpose flour,5.14285714286 cups all purpose flour,230
baking soda,2.57142857143 teaspoons baking soda,230
salt,2.57142857143 teaspoons salt,230
butter,"3.42857142857 sticks 1 cup unsalted butter, melted and cooled slightly",230
brown sugar,2.57142857143 cups packed light brown sugar,230
sugar,1.71428571429 cup granulated sugar,230
egg,5.14285714286 large eggs,230
vanilla,2.57142857143 teaspoons vanilla,230
chocolate chip,4.28571428571 cups semisweet chocolate chips 16 ounces,230
all purpose flour,2.66666666667 cup all purpose flour,255
cinnamon,1.33333333333 teaspoon ground cinnamon,255
baking soda,1.33333333333 teaspoon baking soda,255
salt,0.666666666667 teaspoon salt,255
butter,"1.33333333333 cup butter, room temperature",255
brown sugar,2.0 cup packed golden brown sugar,255
vanilla,4.0 teaspoons vanilla extract,255
other,0.666666666667 teaspoon almond extract,255
egg,2.66666666667 large egg,255
pecan,2.66666666667 cup coarsely chopped pecans,255
chocolate,"16.0 ounces semisweet chocolate, coarsely chopped",255
oat,"4.5 cups old fashioned oats, divided",257
cornstarch,2.0 tablespoon cornstarch,257
baking powder,1.0 teaspoon baking powder,257
butter,"1.0 cup unsalted butter, softened",257
sugar,0.666666666667 cup granulated sugar,257
brown sugar,0.666666666667 cup packed light brown sugar,257
egg,2.0 large egg,257
vanilla,2.0 teaspoon pure vanilla extract,257
chocolate,2.0 cup coarsely chopped bittersweet chocolate at least 65 percent cacao,257
other,parchment paper,257
salt,1.0 tsp kosher or sea salt,257
oat,4.0 cups old fashioned rolled oats,258
all purpose flour,3.5 cups all purpose flour,258
baking soda,2.0 teaspoon baking soda,258
salt,1.0 teaspoon salt,258
butter,"1.0 cup 1 stick butter, room temperature",258
brown sugar,2.0 cup packed golden brown sugar,258
sugar,1.0 cup sugar,258
egg,4.0 large eggs,258
vanilla,2.0 teaspoon vanilla extract,258
walnut,2.0 cup chopped walnuts,258
milk,25.0  ounce package about 2 cups milk chocolate chips,258
cooking spray,cooking spray or oil mister optional,282
sugar,1.0 cup raw sugar,282
brown sugar,0.666666666667 cup unpacked dark brown sugar,282
other,0.5 cup mashed avocado,282
other,2.0 tablespoon unsweetened applesauce,282
egg,2.0 large egg white,282
vanilla,2.0 teaspoon pure vanilla extract,282
wheat flour,1.0 cup 65 grams white whole wheat unbleached flour i recommend king arthur,282
all purpose flour,0.666666666667 cup 50 grams all purpose flour,282
cocoa,0.666666666667 cup unsweetened cocoa powder i use trader joe's,282
baking soda,0.5 teaspoon baking soda,282
salt,0.25 teaspoon kosher salt,282
chocolate,0.666666666667 cup semisweet chocolate chunks,282
walnut,1.0 cup finely chopped walnuts,282
all purpose flour,3.52941176471 cups all purpose flour,294
baking soda,1.41176470588 teaspoon baking soda,294
baking powder,0.705882352941 teaspoon baking powder,294
salt,1.41176470588 teaspoon salt,294
butter,"2.82352941176 sticks 1 cup unsalted butter, softened",294
sugar,1.41176470588 cup granulated sugar,294
brown sugar,0.705882352941 cup packed light brown sugar,294
egg,2.82352941176 large eggs,294
chocolate,12.7058823529 ounces fine quality bittersweet not unsweetened or semisweet chocolate,294
fruit,1.05882352941 cup quartered dried apricots about 4 ounces,294
fruit,1.41176470588 cup dried tart cherries about 5 ounces,294
pecan,1.41176470588 cup coarsely chopped pecans about 4 ounces,294
all purpose flour,6.0 cup all purpose flour,297
sugar,2.0 cup sugar,297
cornstarch,15.0 tablespoons cornstarch,297
other,9.0 teaspoons grated lemon peel,297
other,3.0 teaspoon freshly grated nutmeg,297
salt,0.75 teaspoon salt,297
butter,"3.0 cup 1 stick chilled unsalted butter, cut into 1/2 inch pieces",297
vanilla,3.0 teaspoon vanilla extract,297
walnut,3.0 cup walnuts,297
chocolate chip,"12.0 ounces bittersweet not unsweetened or semisweet chocolate, chopped, or 1/3 cup mini chocolate chips",297
sugar,sugar,297
other,6.0 pint ice cream of choice,297
chocolate,"18.0 ounces semisweet chocolate, chopped",297
oat,3.0 cups old fashioned oatmeal,310
all purpose flour,1.0 cup all purpose flour,310
baking soda,2.0 teaspoon baking soda,310
baking powder,2.0 teaspoon baking powder,310
butter,"1.0 cup 1 stick unsalted butter, room temperature",310
brown sugar,1.33333333333 cup firmly packed dark brown sugar,310
sugar,1.0 cup sugar,310
egg,2.0 egg,310
vanilla,2.0 teaspoon vanilla,310
fruit,1.5 cup chopped pitted dates about 5 ounces,310
pecan,1.5 cup chopped pecans about 3 ounces,310
chocolate chip,1.33333333333 cup semisweet chocolate chips,310
wheat flour,1.0 cup whole wheat flour,323
oat,2.0 cup quick cooking rolled oats,323
coconut,2.0 cup unsweetened shredded coconut,323
baking soda,2.0 teaspoon baking soda,323
salt,2.0 teaspoon kosher salt,323
butter,"2.0 stick 4 ounces unsalted butter, at room temperature",323
brown sugar,1.0 cup packed light brown sugar,323
sugar,0.5 cup granulated sugar,323
vanilla,2.0 teaspoon pure vanilla extract,323
egg,"2.0 large egg, at room temperature, plus 2.0 egg yolk",323
chocolate chip,1.0 cup semisweet chocolate chips,323
shortening,0.8 cup solid vegetable shortening,328
butter,"0.8 cup 1 stick unsalted butter, room temperature",328
sugar,1.2 cup sugar,328
brown sugar,1.2 cup firmly packed dark brown sugar,328
egg,3.2 eggs,328
vanilla,7.04  ounce package vanilla instant pudding mix,328
vanilla,1.6 tablespoon vanilla extract,328
baking soda,1.6 teaspoon baking soda,328
water,1.6 teaspoon water,328
cinnamon,1.6 teaspoon ground cinnamon,328
other,0.8 teaspoon ground nutmeg,328
salt,0.8 teaspoon salt,328
oat,1.6 cup old fashioned oats,328
all purpose flour,3.6 cups all purpose flour,328
chocolate chip,20.8  ounce package semisweet chocolate chips,328
walnut,2.4 cups chopped walnuts about 6 ounces,328
all purpose flour,1.6 cups all purpose flour,348
baking powder,0.8 teaspoon baking powder,348
cinnamon,0.8 teaspoon cinnamon,348
salt,0.8 teaspoon salt,348
butter,"1.2 sticks unsalted butter, softened",348
sugar,0.4 cup granulated sugar,348
brown sugar,0.6 cup packed light brown sugar,348
egg,1.6 large eggs,348
vanilla,0.8 teaspoon vanilla,348
chocolate chip,9.6 ounces semisweet chocolate chips,348
fruit,0.8 cup dried tart cherries,348
chocolate,"30.0 ounces bittersweet not unsweetened or semisweet chocolate, chopped",360
all purpose flour,1.5 cup plus 2 teaspoons all purpose flour,360
cocoa,9.0 tablespoons unsweetened cocoa powder,360
baking powder,0.75 teaspoon baking powder,360
salt,0.75 teaspoon salt,360
sugar,3.0 cup plus 3.0 tablespoon sugar,360
butter,"15.0 tablespoons unsalted butter, room temperature",360
egg,9.0 large eggs,360
vanilla,4.5 teaspoons vanilla extract,360
chocolate chip,18.0 ounces 1 cup semisweet chocolate chips,360
all purpose flour,2.0 cups all purpose flour,362
baking powder,1.33333333333 teaspoon baking powder,362
salt,0.666666666667 teaspoon kosher salt,362
baking soda,0.333333333333 teaspoon baking soda,362
egg,2.66666666667 large eggs,362
vanilla,1.33333333333 teaspoon vanilla extract,362
butter,"13.3333333333 tablespoons unsalted butter, room temperature",362
sugar,1.0 cup granulated sugar,362
brown sugar,1.0 cup packed light brown sugar,362
chocolate chip,10.6666666667 ounces chopped high quality semisweet chocolate or chocolate chips about 1 1/2 cups,362
brown sugar,1.14285714286 cup packed golden brown sugar,375
sugar,0.571428571429 cup sugar,375
shortening,"0.571428571429 cup solid vegetable shortening, room temperature",375
butter,"0.571428571429 cup 1 stick unsalted butter, room temperature",375
egg,2.28571428571 large eggs,375
vanilla,1.14285714286 teaspoon vanilla extract,375
all purpose flour,3.42857142857 cups all purpose flour,375
baking soda,1.14285714286 teaspoon baking soda,375
salt,1.14285714286 teaspoon salt,375
chocolate chip,14.8571428571  ounce package semisweet chocolate chips,375
all purpose flour,2.0 cup all purpose flour,386
baking soda,1.0 teaspoon baking soda,386
salt,0.5 teaspoon salt,386
butter,"1.0 cup plus 2 tablespoons 1 1/4 sticks unsalted butter, room temperature",386
sugar,1.0 cup sugar,386
brown sugar,1.0 cup packed dark brown sugar,386
egg,2.0 large egg,386
vanilla,2.0 teaspoon vanilla extract,386
other,1.0 teaspoon almond extract,386
oat,2.0 cup old fashioned oats,386
chocolate chip,3.0 cups semisweet chocolate chips,386
fruit,2.0 cup dried tart cherries,386
other,"1.0 cup slivered almonds, toasted",386
all purpose flour,1.33333333333 cups all purpose flour,388
baking soda,0.666666666667 teaspoon baking soda,388
baking powder,0.333333333333 teaspoon baking powder,388
salt,0.666666666667 teaspoon salt,388
oat,0.666666666667 cup old fashioned rolled oats,388
butter,"1.33333333333 sticks 1 cup unsalted butter, softened",388
brown sugar,0.833333333333 cups firmly packed light brown sugar,388
sugar,0.166666666667 cup granulated sugar,388
egg,1.33333333333 large eggs,388
vanilla,0.666666666667 teaspoon vanilla,388
chocolate chip,1.33333333333 cups 11.33333333333 ounces semisweet chocolate chips,388
margarine,1.0 cup 2 sticks margarine,398
brown sugar,1.0 cup packed dark brown sugar,398
sugar,0.5 cup plus 2 tablespoons sugar,398
egg,2.0 large eggs,398
vanilla,1.0 teaspoon vanilla extract,398
all purpose flour,2.0 cups plus 2.0 tablespoons all purpose flour,398
baking soda,0.75 teaspoon baking soda,398
salt,0.5 teaspoon salt,398
oat,2.5 cups quick cooking oats,398
chocolate chip,2.0 cups semisweet chocolate chips about 12.0 ounces,398
pecan,1.0 cup chopped pecans,398
butter,"436.363636364 g about 14 tablespoons cold unsalted butter, chopped",399
brown sugar,2.18181818182 cup 175g brown sugar,399
sugar,1.63636363636 cup 165g white granulated sugar,399
vanilla,2.18181818182 teaspoon vanilla extract,399
milk,4.36363636364 tablespoons milk,399
egg,2.18181818182 egg,399
all purpose flour,4.36363636364 cups 300g plain all purpose flour,399
baking powder,0.545454545455 teaspoon baking powder,399
baking soda,0.545454545455 teaspoon baking soda,399
salt,0.545454545455 teaspoon table salt,399
chocolate,"654.545454545 g dark chocolate, chopped",399
all purpose flour,72.0 cups all purpose flour,444
cinnamon,96.0 teaspoons ground cinnamon,444
baking powder,48.0 teaspoon baking powder,444
other,48.0 teaspoon espresso powder,444
baking soda,24.0 teaspoon baking soda,444
salt,24.0 teaspoon kosher salt,444
egg,96.0 large eggs,444
vanilla,48.0 teaspoon vanilla extract,444
butter,"480.0 tablespoons unsalted butter, room temperature",444
sugar,36.0 cup granulated sugar,444
brown sugar,36.0 cup packed light brown sugar,444
milk,"384.0 ounces high quality milk chocolate, chopped",444
other,a heavy preferably cast iron 576.0  inch skillet,444
butter,"1.5 stick 1/4 cup unsalted butter, softened",450
brown sugar,1.0 cup firmly packed light brown sugar,450
water,"3.0 large egg yolk plus 2 teaspoons water, or 3.0 large egg white",450
all purpose flour,1.5 cup all purpose flour,450
baking powder,0.75 teaspoon double acting baking powder,450
salt,0.75 teaspoon salt,450
vanilla,0.75 teaspoon vanilla extract,450
chocolate chip,3.0 cup semisweet chocolate chips,450
other,1.5 cup toasted rice cereal,450
all purpose flour,2.66666666667 cup all purpose flour,507
baking soda,1.33333333333 teaspoon baking soda,507
salt,1.33333333333 teaspoon salt,507
butter,"2.66666666667 stick 1/2 cup unsalted butter, softened",507
brown sugar,0.888888888889 cup packed light brown sugar,507
sugar,0.888888888889 cup granulated sugar,507
vanilla,1.33333333333 teaspoon vanilla,507
egg,2.66666666667 large egg,507
other,2.66666666667 cup granola chop clusters if large,507
chocolate chip,2.0 cup semisweet chocolate chips 4 1/2 ounces,507
